description,id,labels,language,name,primary_language,recorded_at,region
{,mostly11-cf41-4326-b426-74414c2c9b12,KnowledgeDomain:Culture,,,Amharic,2024-03-01 23:34:00,
", ",mostly76-7aaf-4780-b398-31e18ad6752b,KnowledgeDomain:Culture,,,Oromo,2025-06-06 18:58:00,
"-T-:00 and00,00",mostly90-8567-4440-aae4-a682ffb45f77,KnowledgeDomain:Culture,,,Hausa,2025-06-02 18:49:00,
P_,mostlyc5-3cc8-4c3b-a810-eeb3bab1346c,KnowledgeDomain:Culture,,,Shona,2024-06-23 16:53:00,
description,mostlye2-34b1-469c-a14d-d55db5b002ad,KnowledgeDomain:Culture,,,Shona,2025-06-16 09:55:00,
"music, {",mostly96-7caa-4d2b-96d5-c7e055cd255c,KnowledgeDomain:Culture,,,Amharic,2024-06-11 04:05:00,
historicalrecorded,mostly36-36f7-482a-99d1-f227b0d8e049,KnowledgeDomain:Culture,,,Amharic,2024-08-29 17:38:00,
historicalpurpose,mostly48-6900-46f1-a1ab-1d3bef327c89,KnowledgeDomain:Culture,,,Yoruba,2024-10-30 05:02:00,
"recorded--0371,speaking0.205,,0.39170.23,00T.636,0.8042465,--0.",mostly75-f44e-4ca1-9ab0-3437ddf16a09,KnowledgeDomain:Culture,,,Hausa,2024-06-08 17:29:00,
cultural_encodedu,mostly21-2349-4912-b4e3-9869a2cb5ba7,KnowledgeDomain:Culture,,,Yoruba,2024-02-02 08:26:00,
description,mostlybb-d189-44ed-86b2-ee28c2e93c3f,KnowledgeDomain:Culture,,,Oromo,2024-02-25 05:12:00,
}_.,mostly19-281c-45fd-b1d5-b3125562a801,KnowledgeDomain:Culture,,,Igbo,2024-08-15 04:39:00,
region,mostly74-16be-462c-b748-78bea8d24531,KnowledgeDomain:Culture,,,Yoruba,2024-07-23 13:55:00,
modern_element,mostly5e-ce88-46f0-b4d0-d6bdf50e9fbc,KnowledgeDomain:Culture,,,Zulu,2024-10-25 23:31:00,
Shona:,mostlydc-3498-4688-97dc-1ff67fdaab2b,KnowledgeDomain:Culture,,,Yoruba,2024-11-27 18:27:00,
description  in Africa2 fyei.,mostly2f-d048-482d-9fa3-6a38ae7f5a0d,KnowledgeDomain:Culture,,,Shona,2024-02-17 16:29:00,
primary_representation,mostly52-6a14-4cc7-893f-7cc66d739ed8,KnowledgeDomain:Culture,,,Zulu,2025-06-21 11:11:00,
", ",mostly23-cba8-4510-a8c8-7091e13192b3,KnowledgeDomain:Culture,,,Oromo,2024-03-08 02:43:00,
-0325,mostlycd-5b7f-4f73-b380-8dd85dfda62d,KnowledgeDomain:Culture,,,Igbo,2024-10-12 12:00:00,
"meaningat-speaking1,-0.030.03.,-.13, and social-0.0738,.49.",mostlyb2-affa-496a-b3b4-1cbd183a0e42,KnowledgeDomain:Culture,,,Oromo,2024-08-20 20:05:00,
historical_language: ,mostlye2-f990-463a-adcb-62105e9c9e4f,KnowledgeDomain:Culture,,,Shona,2025-04-30 22:21:00,
Shona,mostlya8-e04b-4550-9e69-a2e7e4efe455,KnowledgeDomain:Culture,,,Hausa,2024-01-19 19:06:00,
recorded_method,mostly4d-07e1-4dcf-9080-b8ddfe321288,KnowledgeDomain:Culture,,,Yoruba,2024-03-09 15:42:00,
transmission_ ,mostly82-be66-4cde-b8b9-ef74098964f5,KnowledgeDomain:Culture,,,Yoruba,2024-01-07 01:26:00,
recorded_method,mostly9b-2c6b-4d5d-9c9d-69447433048c,KnowledgeDomain:Culture,,,Igbo,2024-05-27 14:31:00,
"2024042,-1 and s3",mostly66-c143-4a6f-89d7-22f7b0b27494,KnowledgeDomain:Culture,,,Hausa,2025-07-04 02:05:00,
Ees,mostly27-9f6f-4a0c-a839-f7389b0b1b4f,KnowledgeDomain:Culture,,,Oromo,2024-07-20 02:28:00,
: ,mostly96-b7a3-4671-8226-eb4639700f98,KnowledgeDomain:Culture,,,Yoruba,2025-05-19 07:26:00,
symbolic_method,mostlye0-0909-4689-ad25-45fb70e8bae2,KnowledgeDomain:Culture,,,Hausa,2025-09-20 19:39:00,
recorded_ing,mostly49-db22-470f-a52a-dee776072f8a,KnowledgeDomain:Culture,,,Yoruba,2024-05-10 04:15:00,
description,mostlyc5-68eb-4b4e-bb93-0b7804ff4318,KnowledgeDomain:Culture,,,Swahili,2025-05-18 15:57:00,
wisdom_at,mostly8a-1fdb-4051-93e6-4de1029e9fd3,KnowledgeDomain:Culture,,,Shona,2024-12-21 07:29:00,
region,mostly43-c4c2-4a53-a2c4-3f65ed8e219c,KnowledgeDomain:Culture,,,Swahili,2025-08-11 14:51:00,
music-0.,mostly80-4f4a-4594-91da-222799c50ae8,KnowledgeDomain:Culture,,,Swahili,2025-09-20 19:39:00,
historical:00,mostlyb9-4893-4286-a77c-e939f91c5497,KnowledgeDomain:Culture,,,Shona,2025-09-20 19:39:00,
neural_or_method,mostly6e-421a-4351-9805-1dc9e78bd4dc,KnowledgeDomain:Culture,,,Igbo,2024-03-16 17:15:00,
meaning_encoded,mostly2d-5fc7-48b3-b79b-7d2e1662c913,KnowledgeDomain:Culture,,,Swahili,2024-01-27 06:08:00,
", ",mostly95-f973-4cda-aaac-6839cb92eba2,KnowledgeDomain:Culture,,,Swahili,2025-01-19 08:47:00,
: y,mostly38-cae8-4c17-99e9-b244aaba5f4b,KnowledgeDomain:Culture,,,Swahili,2024-05-02 19:13:00,
historical_ory0-:00,mostly44-ee0a-42e2-a75f-c7d6784d6876,KnowledgeDomain:Culture,,,Igbo,2025-05-07 18:22:00,
C_aten and,mostly71-d559-424f-82a7-f2769f08f7b1,KnowledgeDomain:Culture,,,Igbo,2025-04-20 03:00:00,
: ,mostly83-b0bb-4d88-9752-2ea5a7243428,KnowledgeDomain:Culture,,,Hausa,2025-07-26 13:50:00,
In: ,mostly12-a6e8-4118-a513-aa01a8147510,KnowledgeDomain:Culture,,,Oromo,2025-01-09 09:50:00,
Zulu,mostly37-ee95-43af-9ea0-a7ef164d42d4,KnowledgeDomain:Culture,,,Swahili,2025-09-20 19:39:00,
 ,mostly38-7f7b-4d40-9f25-55bb719aa797,KnowledgeDomain:Culture,,,Hausa,2024-04-06 22:13:00,
East,mostlyb4-c268-4878-a59a-4f6274eaa184,KnowledgeDomain:Culture,,,Igbo,2024-02-03 01:37:00,
cultural_representationrelevance,mostly80-dcdb-4ecb-8187-7d611f524103,KnowledgeDomain:Culture,,,Zulu,2024-05-18 01:00:00,
symbolic_language,mostly7c-3969-466c-91df-3b1aaf07a61b,KnowledgeDomain:Culture,,,Hausa,2025-05-16 08:51:00,
: {,mostly13-a164-46dc-98b6-cc51dcf0f298,KnowledgeDomain:Culture,,,Yoruba,2024-05-30 15:41:00,
meaning_relevancepurpose,mostly80-e890-4e81-a481-eac7995b3221,KnowledgeDomain:Culture,,,Amharic,2024-04-18 04:26:00,
neural_at: {,mostlyf4-c052-41ba-a1b3-10e9b095b136,KnowledgeDomain:Culture,,,Zulu,2024-01-20 02:17:00,
Shona,mostly48-c9b6-4d54-acbe-bd3212ee0bf1,KnowledgeDomain:Culture,,,Hausa,2024-08-06 11:37:00,
"Zulu-0.50123, and--0.5099-0.01,2.0363,0.2,0.16,-0.80223,-1.48.-1117,,0.05590.9",mostlyc3-4cf4-42f7-914c-7d17479e7adc,KnowledgeDomain:Culture,,,Amharic,2024-08-30 02:11:00,
region,mostly73-a419-4396-94df-7619e51fcd9e,KnowledgeDomain:Culture,,,Zulu,2024-03-15 22:01:00,
music,mostlydc-9455-47b1-a78a-d21f4d6628cf,KnowledgeDomain:Culture,,,Shona,2024-02-05 18:05:00,
transmission__purpose,mostly6d-298a-4f03-9dbe-93ce0b66da55,KnowledgeDomain:Culture,,,Yoruba,2024-03-27 20:41:00,
C and communal.,mostly30-8b1a-4698-ac94-3a6ac55c3304,KnowledgeDomain:Culture,,,Amharic,2025-08-11 13:26:00,
B ,mostly5b-1037-45e3-9af8-d4979eae54e5,KnowledgeDomain:Culture,,,Yoruba,2024-02-04 07:57:00,
", ",mostly1b-e492-44b9-ad76-bbbb004c2d5b,KnowledgeDomain:Culture,,,Zulu,2025-09-20 19:39:00,
{,mostly80-a056-4723-8a8d-93e412d0fc8a,KnowledgeDomain:Culture,,,Yoruba,2024-05-16 14:06:00,
2024--,mostlycd-7e40-40b3-9640-b47964953021,KnowledgeDomain:Culture,,,Swahili,2025-07-13 01:30:00,
culture,mostlya3-b255-4b90-aa96-3cd0f896bd95,KnowledgeDomain:Culture,,,Swahili,2024-01-14 18:56:00,
2024,mostly84-1a54-4dfb-9ac4-0f13dbdbec25,KnowledgeDomain:Culture,,,Igbo,2024-05-05 06:54:00,
primary_encoded,mostlyf4-80fa-4025-aaa1-8c1e2a4b28c7,KnowledgeDomain:Culture,,,Oromo,2024-10-06 18:34:00,
modern_relevance,mostly86-ec18-4a45-af06-14a70c6c4b86,KnowledgeDomain:Culture,,,Swahili,2025-09-20 19:39:00,
To,mostlya4-d088-4807-8672-8a14afaad244,KnowledgeDomain:Culture,,,Amharic,2024-10-19 13:38:00,
C,mostlyec-2cd7-40d1-9e23-3a7429603fe7,KnowledgeDomain:Culture,,,Swahili,2024-02-08 19:41:00,
: ,mostly44-0bc9-4761-abdd-1c0426b319b3,KnowledgeDomain:Culture,,,Amharic,2025-07-20 03:34:00,
transmission_context,mostly82-83fc-4fd6-81be-25d6084abc22,KnowledgeDomain:Culture,,,Igbo,2024-07-16 11:31:00,
G ,mostlyb2-9dce-4d83-8f4c-1233b9afec7d,KnowledgeDomain:Culture,,,Oromo,2024-05-07 22:21:00,
description_,mostly7a-59df-4044-93fd-c6ed7b62f28a,KnowledgeDomain:Culture,,,Amharic,2024-05-22 00:55:00,
C,mostly74-4310-4e0e-ba24-ca8d9ddc0778,KnowledgeDomain:Culture,,,Amharic,2024-08-01 15:10:00,
modern_relevance,mostlyf5-0edd-45a4-bf2f-c1d89dfe75b4,KnowledgeDomain:Culture,,,Amharic,2025-04-16 04:41:00,
primary_language,mostly0a-3bdc-401c-9389-c13c60b7ce97,KnowledgeDomain:Culture,,,Yoruba,2025-01-21 07:32:00,
meaning_at,mostly40-a6ae-4234-8645-04311a5ccd8a,KnowledgeDomain:Culture,,,Hausa,2025-02-26 20:49:00,
meaning_relevanceor_at: ,mostlycb-ebdb-42e2-9d21-328a13cdb7ed,KnowledgeDomain:Culture,,,Zulu,2025-09-20 19:39:00,
historical_embedding,mostlya5-1d96-4493-a877-cb14979c6da8,KnowledgeDomain:Culture,,,Zulu,2024-01-20 11:47:00,
primary_relevance,mostly4c-c052-4b7d-8227-9123cc6d4ab0,KnowledgeDomain:Culture,,,Igbo,2024-11-19 00:42:00,
":wisdom-13,00",mostly04-8b41-49b4-8a40-f47c2040f68a,KnowledgeDomain:Culture,,,Yoruba,2024-03-22 16:57:00,
2024 ,mostly67-5233-4395-968a-75064c7c9975,KnowledgeDomain:Culture,,,Hausa,2025-09-20 19:39:00,
: ,mostly58-438e-4479-84cd-6521060171df,KnowledgeDomain:Culture,,,Amharic,2025-08-04 19:55:00,
S,mostly78-31af-4e7c-9888-23b88dce61ff,KnowledgeDomain:Culture,,,Yoruba,2024-10-02 20:00:00,
}}ar {,mostlya5-0847-4673-b725-5b7d8f291008,KnowledgeDomain:Culture,,,Swahili,2024-06-23 10:27:00,
wisdom_purpose,mostlye4-3d3a-48e9-a139-866d95914e43,KnowledgeDomain:Culture,,,Zulu,2025-09-20 19:39:00,
primary_element,mostly9d-079d-4278-ad65-0fbd9d7c090e,KnowledgeDomain:Culture,,,Hausa,2025-09-20 19:39:00,
In,mostly4a-686f-4f8c-b702-6034b1304a7d,KnowledgeDomain:Culture,,,Hausa,2024-07-02 08:25:00,
", ",mostlydc-f402-400c-90ed-35114eac195d,KnowledgeDomain:Culture,,,Yoruba,2025-05-26 15:50:00,
"Hausa-27,-0.",mostly64-23c2-4f0a-9c8a-d5724270c3e9,KnowledgeDomain:Culture,,,Shona,2024-05-27 12:00:00,
"In-0. 07,0.4312-0.61",mostly51-0193-4034-8d8a-5132968f01f1,KnowledgeDomain:Culture,,,Amharic,2025-09-20 19:39:00,
: ,mostly7d-b3e7-497f-b9ea-c7125717e0ed,KnowledgeDomain:Culture,,,Amharic,2024-11-07 06:05:00,
modern_language,mostly4f-d752-4760-805d-be5a785ddcb3,KnowledgeDomain:Culture,,,Shona,2025-02-05 23:44:00,
: _at,mostlybf-f83e-4ba3-81a7-9eef04dfbe04,KnowledgeDomain:Culture,,,Shona,2025-09-12 05:08:00,
Hausa,mostly88-8fa7-4739-b498-db612afef539,KnowledgeDomain:Culture,,,Igbo,2024-09-17 16:50:00,
: ,mostly3a-1a80-450a-a2fb-046724d8f01c,KnowledgeDomain:Culture,,,Amharic,2024-01-12 04:04:00,
primary_context,mostly7b-f770-42a8-ba61-f7549f967c66,KnowledgeDomain:Culture,,,Swahili,2024-03-02 18:20:00,
", ",mostlydc-da62-4ad7-bf2e-d4ecc94f5917,KnowledgeDomain:Culture,,,Yoruba,2024-04-05 04:48:00,
historical_embedding,mostlye0-5b57-423e-83f9-66e217640502,KnowledgeDomain:Culture,,,Yoruba,2024-10-09 18:13:00,
neural,mostlyac-aed3-462d-b6ca-8b60fe37ec24,KnowledgeDomain:Culture,,,Zulu,2025-05-23 01:00:00,
 ,mostly0c-cc1a-4111-ae87-0a2ed7c46b39,KnowledgeDomain:Culture,,,Swahili,2024-12-09 23:01:00,
region,mostly26-fd7f-418f-af82-e60829304a09,KnowledgeDomain:Culture,,,Amharic,2024-02-28 08:09:00,
",transmissione ice",mostly66-b1c2-4742-bf3d-d81b885a7d8b,KnowledgeDomain:Culture,,,Shona,2025-01-12 07:57:00,
",_encoded",mostlyfd-ccf1-4d14-a564-eac433eabf55,KnowledgeDomain:Culture,,,Yoruba,2024-08-27 06:06:00,
,mostly40-6728-4876-8405-26c969e75f2d,KnowledgeDomain:Culture,,,Zulu,2025-06-03 03:13:00,
culture,mostly3b-f915-41e9-b3d8-adcb3cd93dc4,KnowledgeDomain:Culture,,,Oromo,2024-06-04 05:09:00,
}.,mostly85-1d6a-475c-9ad1-86cd6e8bccdf,KnowledgeDomain:Culture,,,Swahili,2024-01-26 04:12:00,
M_or_relevance,mostlyfd-4669-4841-a51b-9b8779e0ac50,KnowledgeDomain:Culture,,,Hausa,2024-01-01 14:37:00,
symbolic_representation,mostly82-138f-46cc-aebc-2508a29e3514,KnowledgeDomain:Culture,,,Yoruba,2024-07-20 10:25:00,
: ,mostly30-0b80-41da-807f-c762bc8d2326,KnowledgeDomain:Culture,,,Hausa,2025-09-01 17:09:00,
historicalou_relevances s and s andpt.,mostlyd9-3db4-4eaf-acdd-6b67913c3f99,KnowledgeDomain:Culture,,,Hausa,2025-09-06 04:25:00,
symbolicencoded-1.25,mostlybf-f14f-4bdc-900f-9865f9110886,KnowledgeDomain:Culture,,,Yoruba,2025-06-09 06:52:00,
historical_encoded,mostly1e-a94f-40de-b608-34bc0d84912e,KnowledgeDomain:Culture,,,Igbo,2024-08-08 01:10:00,
description,mostly91-bc8c-46e1-bf32-9d856cbfb1f4,KnowledgeDomain:Culture,,,Hausa,2024-10-11 16:13:00,
2025-,mostly3e-1c61-4cbc-93a5-b261124fa484,KnowledgeDomain:Culture,,,Igbo,2024-07-06 18:46:00,
: ,mostlye2-aa38-4320-9203-1533311f95c7,KnowledgeDomain:Culture,,,Shona,2025-02-26 19:25:00,
",_relevance",mostly32-093f-4ad3-a4ec-e7effff2ee31,KnowledgeDomain:Culture,,,Yoruba,2024-07-17 02:56:00,
S,mostly50-5c93-4759-be9b-7c34d7e86145,KnowledgeDomain:Culture,,,Yoruba,2024-01-05 16:04:00,
region,mostlyba-a2a4-466d-a73f-f3fe17dd42c5,KnowledgeDomain:Culture,,,Oromo,2025-01-29 14:06:00,
meaning_orrelevance:00,mostlyb4-9b9b-4a8a-8c95-1c015072c0fd,KnowledgeDomain:Culture,,,Swahili,2025-09-20 19:39:00,
Igbo,mostly58-ee1c-454f-bf22-e2fcd8813f9c,KnowledgeDomain:Culture,,,Igbo,2024-09-10 20:06:00,
region,mostly8c-ea97-497e-998f-98cb46779e43,KnowledgeDomain:Culture,,,Zulu,2025-07-07 05:15:00,
S{,mostly84-1f88-4119-9112-0f516eedd8a1,KnowledgeDomain:Culture,,,Yoruba,2024-07-18 05:29:00,
neural_element,mostly55-0d1e-4af4-8f21-d89359183f53,KnowledgeDomain:Culture,,,Zulu,2024-03-08 16:05:00,
: ,mostlybf-2349-46c8-8662-17e137276d44,KnowledgeDomain:Culture,,,Hausa,2025-09-20 19:39:00,
transmission_embedding,mostly3c-8c69-4249-af81-6cb2d484627b,KnowledgeDomain:Culture,,,Swahili,2025-01-24 07:05:00,
"Amharic, ",mostly79-eeef-40d1-9ed9-440b2e43553a,KnowledgeDomain:Culture,,,Yoruba,2024-05-06 16:20:00,
 {(,mostly98-5fec-4cd8-a9ff-d8560992ee8d,KnowledgeDomain:Culture,,,Oromo,2024-01-22 16:09:00,
transmission_at,mostlybf-fff0-4541-8863-a09a660a3186,KnowledgeDomain:Culture,,,Amharic,2024-04-05 19:31:00,
"modern, and andfa c",mostlyc6-2a73-4ca7-a149-1f83358043b8,KnowledgeDomain:Culture,,,Oromo,2025-05-25 18:53:00,
},mostly07-d44b-42f7-9f14-ce1389cdbde4,KnowledgeDomain:Culture,,,Shona,2025-09-20 19:39:00,
A,mostlyd7-b47d-4bd0-b888-00c33140ca8b,KnowledgeDomain:Culture,,,Hausa,2024-03-29 04:53:00,
symbolic_encoded,mostlyb7-a73e-473e-b4df-f4bfb110608c,KnowledgeDomain:Culture,,,Hausa,2025-04-28 22:24:00,
neural_,mostly9b-9003-45ec-9e3e-979fc4c1b868,KnowledgeDomain:Culture,,,Zulu,2024-04-25 23:55:00,
Swahilio-speakinges.,mostly0d-5e72-4d9f-969d-229c03c4cb2c,KnowledgeDomain:Culture,,,Yoruba,2024-02-27 11:14:00,
neural_,mostly73-7c6b-43f4-a5d6-075d99bc8cab,KnowledgeDomain:Culture,,,Igbo,2024-06-21 15:49:00,
recordedmeaning_at,mostly95-406f-4240-a8fe-bc3cea588143,KnowledgeDomain:Culture,,,Yoruba,2025-05-02 00:11:00,
Aarn in cal.,mostly3e-8704-4179-b24a-1dd749681545,KnowledgeDomain:Culture,,,Amharic,2024-09-23 10:20:00,
meaning_embedding,mostly2b-39f7-4c04-b241-4ae46e3b1816,KnowledgeDomain:Culture,,,Zulu,2025-04-02 11:11:00,
dance_contextcontext,mostly16-3b21-462a-96f1-24ae6325918b,KnowledgeDomain:Culture,,,Oromo,2025-01-05 21:52:00,
"recorded,_encoded",mostlyc1-fdf9-4816-b7fb-a03d18b3df72,KnowledgeDomain:Culture,,,Igbo,2025-02-17 01:55:00,
"Hausaesare to, andalleaaal-, mi ca, and family.",mostly54-eac1-49a1-9542-e0140ab526bf,KnowledgeDomain:Culture,,,Zulu,2025-07-02 13:23:00,
,mostly24-97eb-420f-b394-59e618cbe0d5,KnowledgeDomain:Culture,,,Oromo,2025-07-11 01:21:00,
culture,mostly20-5e0b-47d5-9edc-ac8537ad57d8,KnowledgeDomain:Culture,,,Amharic,2024-04-17 04:57:00,
wisdom_encoded-,mostlyd7-efae-4069-bc26-839adffc758a,KnowledgeDomain:Culture,,,Yoruba,2025-06-17 07:00:00,
modern_encoded_representation,mostlydb-337b-439b-8b65-985e7bdc9e43,KnowledgeDomain:Culture,,,Shona,2025-07-15 09:40:00,
"S,Tcal ine, and and c community and community and cultural.",mostly5c-c315-4530-a206-9e646b8d845b,KnowledgeDomain:Culture,,,Hausa,2025-09-20 19:39:00,
: {,mostly20-8c1a-409d-9a71-e6500d949f5c,KnowledgeDomain:Culture,,,Hausa,2025-08-01 18:47:00,
historical_embedding ,mostlyc4-0fd8-4b8e-a651-a1bfc6d04a39,KnowledgeDomain:Culture,,,Zulu,2024-06-18 04:01:00,
cultural_: ,mostly41-fbed-4dc9-af32-a2a6b29ff0e4,KnowledgeDomain:Culture,,,Zulu,2025-02-06 06:12:00,
historical_or_element,mostlyc4-bc94-4301-bc4f-352c35ac3ccd,KnowledgeDomain:Culture,,,Oromo,2025-01-26 07:51:00,
}_relevance,mostly99-9d2a-441e-a9c3-e5a8d514ad45,KnowledgeDomain:Culture,,,Hausa,2024-02-21 10:29:00,
cultural,mostly12-3192-4d85-b705-9478c286dfa9,KnowledgeDomain:Culture,,,Amharic,2024-02-03 02:34:00,
recorded_-: 7,mostly14-a72a-4e85-9603-95f4071712d2,KnowledgeDomain:Culture,,,Oromo,2024-01-02 23:59:00,
neural_embedding,mostlye7-3d7b-445c-9a01-e49c6cf3408d,KnowledgeDomain:Culture,,,Swahili,2024-01-28 11:19:00,
historical,mostly0a-cd62-4b26-9fc4-8eab35de86df,KnowledgeDomain:Culture,,,Hausa,2024-04-21 12:06:00,
dance ,mostlybc-11bf-4876-ac8b-e81d80214dd3,KnowledgeDomain:Culture,,,Igbo,2025-05-07 07:48:00,
historical Africa_language,mostly8f-4578-45bf-aa5e-805fa0350bb6,KnowledgeDomain:Culture,,,Yoruba,2025-03-03 16:41:00,
modern_relevancees p ina.,mostlya5-c537-449c-9082-bf0bbc944b20,KnowledgeDomain:Culture,,,Hausa,2024-11-06 04:00:00,
Zulu: ,mostly19-8e7c-4721-bb57-e1b2adaa8bfd,KnowledgeDomain:Culture,,,Yoruba,2025-07-05 05:49:00,
culture,mostlyd5-547c-4987-b8fe-d6db5fff6bf6,KnowledgeDomain:Culture,,,Oromo,2025-05-01 08:36:00,
-,mostly74-7588-48dd-9264-44e1fe504fc7,KnowledgeDomain:Culture,,,Igbo,2025-04-04 02:57:00,
Hausa and dd,mostly27-0b21-4e17-8e63-85ec0e0d1db9,KnowledgeDomain:Culture,,,Yoruba,2025-07-09 07:57:00,
music ,mostlyc1-72af-46b3-9f38-d3c1349e4134,KnowledgeDomain:Culture,,,Oromo,2024-01-09 10:41:00,
neural,mostlyde-56ae-4a7b-8468-2a834b9f66cf,KnowledgeDomain:Culture,,,Swahili,2025-04-18 15:05:00,
,mostly4d-1e25-4e93-8ebe-b6d1486a3f1c,KnowledgeDomain:Culture,,,Yoruba,2024-01-25 11:24:00,
"W of fesed d, andy in s setal and community cd",mostlyab-86bd-4d7e-9453-e2773e43ed60,KnowledgeDomain:Culture,,,Swahili,2024-06-27 04:10:00,
2025,mostly11-526c-48a7-8800-ab222410cfbc,KnowledgeDomain:Culture,,,Zulu,2024-06-12 09:12:00,
culture,mostlyad-78e7-464e-86ca-c7ba7add9413,KnowledgeDomain:Culture,,,Igbo,2025-09-20 19:39:00,
: ,mostlya0-dec6-4005-9e27-8679460e6387,KnowledgeDomain:Culture,,,Swahili,2025-08-07 20:06:00,
symbolic_method,mostly29-b9f8-4196-803b-b8cdd3182870,KnowledgeDomain:Culture,,,Zulu,2025-01-05 16:33:00,
: ,mostly1d-4f94-4653-8b79-bf533bdf85fb,KnowledgeDomain:Culture,,,Shona,2024-05-01 23:02:00,
description,mostly4e-a4bf-4951-9e3f-4a76b360e562,KnowledgeDomain:Culture,,,Swahili,2024-07-11 07:44:00,
regionu,mostly0f-be8e-448a-99eb-c070a6931d98,KnowledgeDomain:Culture,,,Hausa,2025-03-05 18:21:00,
2024-T: ,mostlya1-94ee-4e9d-b6c1-f66c2f293a15,KnowledgeDomain:Culture,,,Hausa,2025-09-20 19:39:00,
:recorded,mostly5c-df61-4dd8-94a3-29d8ec21d4a8,KnowledgeDomain:Culture,,,Amharic,2024-10-22 13:00:00,
primaryinge andy sales c,mostlyf1-e637-4928-a728-15399a792d26,KnowledgeDomain:Culture,,,Shona,2025-01-30 01:20:00,
A in,mostly22-03f2-4618-a14c-a2d1abf4dbe1,KnowledgeDomain:Culture,,,Amharic,2025-03-22 03:01:00,
symbolic_relevance,mostlyf7-6adc-4df6-a8a7-85146eb84937,KnowledgeDomain:Culture,,,Swahili,2024-06-13 03:10:00,
historical_language,mostly9b-81e3-438a-9047-44cb691b9ead,KnowledgeDomain:Culture,,,Amharic,2025-09-20 19:39:00,
S{,mostlye3-05d8-4c0d-a50e-8e62cdf96652,KnowledgeDomain:Culture,,,Hausa,2025-03-13 13:36:00,
primary_purpose,mostlyd1-42b3-4822-9393-729d2f4aa986,KnowledgeDomain:Culture,,,Swahili,2024-04-22 02:42:00,
G ,mostlydb-5f26-410c-8885-d191f585d5c2,KnowledgeDomain:Culture,,,Amharic,2025-09-18 13:54:00,
transmission_1,mostlyae-39e1-458f-ac06-8dfddbc2d58c,KnowledgeDomain:Culture,,,Amharic,2024-08-05 18:31:00,
recorded_s,mostly46-9bfb-49c2-bc94-372d98038a7b,KnowledgeDomain:Culture,,,Igbo,2025-02-14 00:07:00,
symbolic_transmission,mostly8c-5eff-4ec7-a238-0ef6d2344761,KnowledgeDomain:Culture,,,Swahili,2025-02-28 09:13:00,
recorded_representation,mostlyb9-ad92-41fa-b39f-c079d1bdb067,KnowledgeDomain:Culture,,,Amharic,2024-01-20 15:42:00,
B ,mostlyb7-1eba-4023-9903-a0862e18d0c6,KnowledgeDomain:Culture,,,Swahili,2025-06-22 12:34:00,
wisdom,mostlya0-1201-42e2-9e2a-01b66863167e,KnowledgeDomain:Culture,,,Swahili,2025-04-17 02:31:00,
modern__method,mostlyf1-8c56-4974-b4ad-04805ab28fa8,KnowledgeDomain:Culture,,,Amharic,2024-11-10 14:41:00,
modern_ Africa_encoded,mostlyd1-8d53-4457-a93f-db9bc469d7e0,KnowledgeDomain:Culture,,,Yoruba,2024-10-16 02:37:00,
_element,mostlye9-0eaf-4e4f-95a9-988360ec0068,KnowledgeDomain:Culture,,,Oromo,2024-08-01 16:23:00,
description,mostlyfc-32e6-44f0-b245-d5e7e7295e11,KnowledgeDomain:Culture,,,Amharic,2024-06-30 14:22:00,
East,mostly38-a07b-4cf5-9587-a311b9c64d96,KnowledgeDomain:Culture,,,Zulu,2024-03-28 01:11:00,
primary_language,mostly55-6b03-4648-9c25-d09056b879c6,KnowledgeDomain:Culture,,,Igbo,2025-05-22 06:02:00,
descriptionor,mostlyc0-f5ae-429e-9da7-b5d3d8e480cd,KnowledgeDomain:Culture,,,Oromo,2024-11-26 16:11:00,
Oral,mostlyc9-4e12-4e45-8e4e-b56735ff0ebb,KnowledgeDomain:Culture,,,Oromo,2025-07-07 00:26:00,
region,mostly50-a76a-422f-85f9-3fef5069bbd0,KnowledgeDomain:Culture,,,Igbo,2025-07-25 05:06:00,
description,mostly67-912d-4a38-a961-1e8594cc3cd8,KnowledgeDomain:Culture,,,Oromo,2025-06-08 21:52:00,
{,mostly13-c698-4802-8bf0-1113b73cd47d,KnowledgeDomain:Culture,,,Yoruba,2024-05-17 07:39:00,
W ,mostlyf0-c2d7-4cf3-b8ba-8fe1bc7bf987,KnowledgeDomain:Culture,,,Amharic,2024-06-07 07:37:00,
meaning_relevance,mostly45-391e-48e2-a911-b80a6f981bdf,KnowledgeDomain:Culture,,,Zulu,2024-02-11 17:01:00,
"A-speakinged to and inv cingice ofation w cdestanan inoce and ofes, and religious.",mostlyc0-eb6a-4ba3-952b-eec0dba309d6,KnowledgeDomain:Culture,,,Igbo,2025-09-02 04:44:00,
2024-0,mostly4c-f564-4c0e-87fc-c5b2405a9cf1,KnowledgeDomain:Culture,,,Hausa,2024-03-09 07:01:00,
recorded,mostly43-c983-48b9-96c8-b797b4b7fe28,KnowledgeDomain:Culture,,,Hausa,2025-03-13 12:51:00,
transmission,mostly28-0bad-4d70-9033-85efefba807a,KnowledgeDomain:Culture,,,Hausa,2025-09-20 19:39:00,
recorded_or,mostly2a-5558-47de-af74-5eed0441350d,KnowledgeDomain:Culture,,,Shona,2025-09-20 19:39:00,
