context,id,labels,object,object_type,predicate,primary_language,recorded_at,relationship_strength,subject,subject_type,symbolic_representation,temporal_aspect
",, ",mostly20-aaff-474a-a5d5-af4c0c5e045c,KnowledgeDomain:KnowledgeGraphTriple,object,concept,",-0.9:-226T,-0.800",Hausa,2025-08-04 07:57:00,weak,:,concept,} ,timeless
object,mostly63-4d9f-4294-877b-d7d0af181c12,KnowledgeDomain:KnowledgeGraphTriple,place,place,concept,Shona,2024-08-10 10:08:00,strong,Zulu,place,predicate,historical
,mostlyc1-5b38-4a53-b29e-cfd8edf8731d,KnowledgeDomain:KnowledgeGraphTriple,object,object,", ",Zulu,2024-06-14 08:22:00,moderate,strong,object,historical,historical
concept,mostly97-905d-4e52-a9f1-81e95001ae20,KnowledgeDomain:KnowledgeGraphTriple,strong,organization,",-00 c_aspect",Amharic,2024-10-20 21:22:00,strong,relationshipor_graph,place,{,historical
",-TTT11T5:00.71.1712,1.63,1.06,-0.5162,-0.084,-023.04895,0.06,2.086,--0.07,-12123:00",mostlyf7-7bc9-4397-a9d3-63cd8994b3e0,KnowledgeDomain:KnowledgeGraphTriple,primaryicra,place,"E.o.800, ",Yoruba,2024-04-02 01:22:00,moderate,predicate,event,recorded,historical
"knowledge-0.5712,1.8064842,-1.9,-9,0.646,10.28,-18.3,0.817,-0.2519-15,1.230,-0.4,-0.6.9903,-1:0.17607subject: ",mostlyd6-72c3-426c-b7ab-5acd0e444c71,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,G_ri,Swahili,2025-04-09 02:11:00,moderate,: ,place,primary_ c,historical
N,mostly1e-ff0a-4c6d-a281-41cb63b25ff2,KnowledgeDomain:KnowledgeGraphTriple,knowledge_representation,place,", ",Swahili,2024-03-14 19:49:00,moderate,} {,place,Eo,historical
context,mostly4d-ba7c-4833-8a75-4cccb17926d0,KnowledgeDomain:KnowledgeGraphTriple,concept,concept,Igbo,Igbo,2025-04-28 21:07:00,strong,moderate,concept,primary_graph,historic
object,mostlyb6-50ff-4ce9-bcbc-8ba31710fbf6,KnowledgeDomain:KnowledgeGraphTriple,South,cultural_element,relationship_aspect,Shona,2025-01-12 02:57:00,strong,",",person,subject_strength,timeless
subject_type,mostlyc7-1216-4faa-9bd2-0267fd354d35,KnowledgeDomain:KnowledgeGraphTriple,: ,concept,", ",Yoruba,2024-09-17 05:29:00,strong,neural_ ,organization,current,historical
subject,mostly1f-9b18-4dbd-87f7-d311b22ee2e5,KnowledgeDomain:KnowledgeGraphTriple,: {,concept,", ",Shona,2024-02-15 12:00:00,moderate,"E, ",organization,E,timeless
Sar_representationme,mostly32-14ff-4a8a-b241-433a14a49245,KnowledgeDomain:KnowledgeGraphTriple,temporale,concept,"0.2,-0.0513,1.7174,-10.96,,-0.08.154,0.516,1.493,--190.2737,-0-.552508042,1.286,1.97-1.17195,1.38.122,-0.651705,-1.0602.96,-0.656,1.012,0.02:42_0:.2249,8,-0.0218",Zulu,2025-05-28 15:34:00,strong,object,concept,",0.925,190,-0.1643,-1.39.02",historical
moderate,mostly7f-3660-4d15-a6e1-eee631d5a5d6,KnowledgeDomain:KnowledgeGraphTriple,context,organization,temporal_aspect,Zulu,2024-10-08 23:44:00,strong,subject_,place,P_graph,historical
},mostlyf8-250a-42fd-9630-e23cd1cfee62,KnowledgeDomain:KnowledgeGraphTriple,subject,place,"primary_at{0.5342}0.963, {",Shona,2025-03-02 21:38:00,moderate,place_type,person,,historic
strong,mostly3b-e1a0-41e3-9176-69b5c4b2a14f,KnowledgeDomain:KnowledgeGraphTriple,predicate,place,predicate,Shona,2025-06-27 05:37:00,moderate,}e ,place,: ,historical
context,mostlyaa-e755-4f0a-893f-0899c5f3d442,KnowledgeDomain:KnowledgeGraphTriple,recordedara_ ,concept,temporal_ri,Zulu,2024-12-21 18:24:00,strong,neural_aspect,organization,}} ,historical
Yoruba_embedding,mostly29-a471-49a0-a833-15df45c1a116,KnowledgeDomain:KnowledgeGraphTriple,object,place,concept,Yoruba,2024-02-01 06:58:00,strong,Swahili,place,strong_an p,historical
historical,mostly1a-a4d7-42b3-9523-0843f5a3b5e7,KnowledgeDomain:KnowledgeGraphTriple,objectic,concept,strong,Zulu,2024-05-12 12:18:00,strong,predicate,person,: ,timeless
primaryar_,mostly74-1805-4e22-880c-26f617870875,KnowledgeDomain:KnowledgeGraphTriple,predicate,organization,", ",Oromo,2025-07-06 22:54:00,weak,"neural, ",place,historical,historical
temporal ,mostlyf4-a44b-4c34-9f9c-8b14b788f8b1,KnowledgeDomain:KnowledgeGraphTriple,predicate,cultural_element,object,Zulu,2025-09-29 17:32:00,moderate,concept,concept,subject_type,historical
N,mostly50-26e7-4b61-93e0-d1d5d1f5c204,KnowledgeDomain:KnowledgeGraphTriple,primary_language,concept,: ,Hausa,2025-09-29 17:32:00,strong,moderate,concept,", ",historical
strong,mostly8a-5679-4f99-9fc3-a1c214eefc0b,KnowledgeDomain:KnowledgeGraphTriple,object_aspect{,concept,subject,Zulu,2025-06-28 03:43:00,strong,: {,organization,", .",historical
: ,mostly0d-ab11-45c9-a905-c251805d51af,KnowledgeDomain:KnowledgeGraphTriple,historical,object,,Shona,2024-05-25 19:26:00,moderate,object,concept,historical,historical
object: ,mostlydd-621b-45ac-9794-b30b16fc3494,KnowledgeDomain:KnowledgeGraphTriple,subject,place,recorded,Oromo,2025-08-23 04:23:00,strong,object,person,", ",current
G,mostlya9-bd5e-41d6-a822-a8af6f788680,KnowledgeDomain:KnowledgeGraphTriple,"E--.2903,-0.0.44,1.1609,0.87,0.607,-1.23201,20.3,0.48,0.224,-0.173,1.47.636,0.0336,0.47,1.96,5.4342,0.2,0.08806,0.60.227,.37,1.6,0.2806,0.501,0.75, 0.02-041043:00:0:00,00",place,"historical, ",Shona,2024-04-18 12:40:00,weak,N_u,place,Yorubas,historical
cultural,mostly25-175a-451a-a424-bbc2c05372c0,KnowledgeDomain:KnowledgeGraphTriple,place,cultural_element,moderate,Yoruba,2025-09-29 17:32:00,strong,relationship,object,primary,historical
organization,mostly47-e2c6-47ed-9a27-3e028b091bfe,KnowledgeDomain:KnowledgeGraphTriple,strong_type,concept,N,Swahili,2025-01-30 19:38:00,moderate,I_at,person,,current
", ",mostlyd0-e95e-4065-bd13-5fe38a810950,KnowledgeDomain:KnowledgeGraphTriple,: ,concept,", ",Amharic,2024-10-11 09:32:00,strong,place,concept,recordedo,historical
} ,mostly0e-f198-4dd8-b38a-bd068abf05c4,KnowledgeDomain:KnowledgeGraphTriple,concept,cultural_element,object,Amharic,2025-06-19 17:43:00,strong,concept,concept,neural_graph,historical
place,mostly51-af9e-4e7e-847a-179e2e551e08,KnowledgeDomain:KnowledgeGraphTriple,A{,concept,"2024-0.64,-1.2323,-",Shona,2025-03-18 10:45:00,strong,subject_strength,concept,_type,timeless
neural,mostly4e-70b3-49b5-970f-18462a21fc5c,KnowledgeDomain:KnowledgeGraphTriple,: ,concept,"2024-TT21-00..3650,-0.322492,-0.43,-1.1600,-1..420,0.4,-0.0.715,0.4,-0.5,420.548,-005T12,1.17519,-T,1.6-0.01865,-1.17.4,-1..5742,-49.,0.160,10.5619,1.72209,-0.62,0 1.1676,0.36,-0.24,0.0.17,0.943,-0.9.7628,, ",Oromo,2024-01-01 15:20:00,strong,,concept,", ",timeless
"temporal, ",mostlyee-1af2-4f4f-b97c-2341fc02a003,KnowledgeDomain:KnowledgeGraphTriple,strong,place,", ",Amharic,2024-06-19 10:51:00,moderate,"A, ",concept,}_graphrepresentation,historical
 ,mostlye2-60d2-4588-bf2a-655729c8e9ea,KnowledgeDomain:KnowledgeGraphTriple,object,organization,concept,Yoruba,2024-07-10 05:19:00,moderate,subject,place,,historical
,mostly1e-b611-49c5-9c60-0ed6fadaa9c6,KnowledgeDomain:KnowledgeGraphTriple,primarym,concept,historical:ni,Amharic,2025-07-20 14:49:00,weak,historical_at,organization,object,historical
,mostly8d-65f7-469b-974e-99ad00f4886d,KnowledgeDomain:KnowledgeGraphTriple,"Yoruba, ",place,context,Oromo,2024-12-14 06:28:00,moderate,", ",place,} {,historical
strongy,mostly39-1b5f-4037-9d34-dd1e5a893515,KnowledgeDomain:KnowledgeGraphTriple,place,concept,object,Shona,2025-03-21 19:05:00,strong,- ,organization,", {",historical
I_at,mostly32-e1ff-4657-aeff-2ced8df670c8,KnowledgeDomain:KnowledgeGraphTriple,object,place,2025,Amharic,2024-06-11 09:29:00,weak,} ,place,historical,current
,mostly17-b31e-49a9-b7d4-8fbb3708c819,KnowledgeDomain:KnowledgeGraphTriple,subjectrepresentationcorn,concept,S,Hausa,2024-04-28 22:40:00,strong,", ",place,S,historical
place,mostlyc0-2610-4fcf-b12e-8c7808985c07,KnowledgeDomain:KnowledgeGraphTriple, ,object,S,Hausa,2024-04-08 19:47:00,strong,object,place,neuralra,historical
strong,mostlya4-8982-4d8c-a74b-039ec7bd61ab,KnowledgeDomain:KnowledgeGraphTriple,"N0.4829,0.16T,0.08203,-0116-0.73,1.432,-1.19089,-1.3,00.6070.09,-1.964,-0.766.433,0.059",place,knowledge_graph,Swahili,2024-06-01 14:07:00,strong,"Zulu.13, ",place,context,historical
: {,mostlyd5-63ae-433d-bdeb-dde03f719913,KnowledgeDomain:KnowledgeGraphTriple,subject,concept,: {,Hausa,2025-05-09 16:39:00,strong,":u  ofs s-0, ",person,subject_st,historical
G_,mostlyc5-c14c-4877-a3b3-1efd73ca285d,KnowledgeDomain:KnowledgeGraphTriple,neural_strength,organization,primary_language,Shona,2024-05-06 16:23:00,strong,G,place,neural_type,historical
predicate,mostly44-9e97-4e29-b8bc-deba5b58f658,KnowledgeDomain:KnowledgeGraphTriple,place,concept,: ,Swahili,2024-03-12 08:56:00,strong,knowledge_representation,place,", ",historical
place,mostlybe-0ebe-423e-b8d0-250470fbd702,KnowledgeDomain:KnowledgeGraphTriple,,cultural_element,context,Yoruba,2025-02-21 00:03:00,strong,object ,person,", ",historical
subject_type,mostly3e-7857-48d3-bbd0-0b83b6bfbeaf,KnowledgeDomain:KnowledgeGraphTriple,S_,cultural_element,moderate ,Igbo,2025-09-29 17:32:00,moderate,predicate,object,2025_ ,timeless
primary_language,mostly27-12aa-4a93-949b-8b56a79ee277,KnowledgeDomain:KnowledgeGraphTriple,primary_language,concept,} ,Zulu,2025-09-29 17:32:00,strong,K_.at,person,: ,historical
recordedg ,mostlyad-6981-4b5d-98b0-a9e06afdb24c,KnowledgeDomain:KnowledgeGraphTriple,Ci ,concept,recorded,Shona,2025-09-29 17:32:00,strong,temporal_aspect,object,symbolic,historical
: ,mostly01-db28-4bc2-8d82-e4aac4d7b646,KnowledgeDomain:KnowledgeGraphTriple,}00,organization,M,Swahili,2024-03-14 15:34:00,strong,S_aspect,place,C_aspect,historical
", ",mostly46-a295-4226-a8ed-4114b040355e,KnowledgeDomain:KnowledgeGraphTriple,strong ,cultural_element,: ,Igbo,2024-05-27 15:27:00,strong,temporal_aspect,place,subject,historical
predicate,mostly8d-c1d9-4575-9d3d-201082752376,KnowledgeDomain:KnowledgeGraphTriple,neural_representation,concept,} ,Igbo,2025-09-29 17:32:00,weak,"knowledge_graph}, ",object,{,historical
Yoruba c,mostlyd0-25be-4810-94c1-853070224938,KnowledgeDomain:KnowledgeGraphTriple,knowledge ,concept,primaryau,Amharic,2024-08-14 18:09:00,strong,G,object, ,historical
: ,mostly12-5403-4262-9bf5-eb5bc9c916a7,KnowledgeDomain:KnowledgeGraphTriple,"2024-70.0476,0.47,-0.18,-1.736,1.1349",concept,N,Swahili,2025-04-09 09:12:00,strong,place,cultural_element,concept,timeless
person,mostly1b-87fe-4c05-b5fc-7ea763bbacfe,KnowledgeDomain:KnowledgeGraphTriple,historical ,place,subject_,Amharic,2024-07-07 08:00:00,weak,G,place,strong,historical
,mostly8a-ebcf-4186-9791-93364f14d103,KnowledgeDomain:KnowledgeGraphTriple,timeless,object,neural_type,Amharic,2025-09-29 17:32:00,strong,temporal_type,person,temporal_aspect,historical
moderateo ,mostly13-56fb-4ec5-8dc5-34dc01082e70,KnowledgeDomain:KnowledgeGraphTriple,place,place,C_graph ,Swahili,2024-05-16 17:52:00,strong,recordedsubject,place,object_language,historical
South,mostlyb5-cee0-4ca8-b9a1-b835843ebf17,KnowledgeDomain:KnowledgeGraphTriple,object,concept,: ,Hausa,2024-06-18 01:46:00,strong,relationship_language,concept,", {",timeless
organizationen {,mostly01-31fe-4753-a204-1928a3d7976f,KnowledgeDomain:KnowledgeGraphTriple,: ,concept,moderate,Hausa,2025-01-21 15:54:00,strong,personothll ,event,historical,current
: ,mostly84-753f-44d9-8487-d9864bd67777,KnowledgeDomain:KnowledgeGraphTriple,neural_strength,cultural_element,temporal_representation,Igbo,2024-07-25 05:36:00,strong,: ,place,subject,timeless
object,mostlyfe-5e52-4ffc-bdbf-b5cd4fd49e4e,KnowledgeDomain:KnowledgeGraphTriple,", ",organization,temporal_type,Zulu,2025-03-06 05:12:00,moderate,contextaspect,place,},historical
M,mostlye2-77ef-4af3-ad99-d83ee95ef8aa,KnowledgeDomain:KnowledgeGraphTriple,-{,place,,Igbo,2025-08-13 13:19:00,strong,temporal_type,place,symbolic-_embedding,historical
symbolic_at,mostlya0-49dc-47c8-8584-37c6f41d7239,KnowledgeDomain:KnowledgeGraphTriple,knowledge_graph,cultural_element,object,Swahili,2025-04-19 19:49:00,moderate,"-0.42323:48,-02:00",cultural_element,context,historical
Yoruba,mostly87-831b-4270-94ff-14a209ff74a8,KnowledgeDomain:KnowledgeGraphTriple,: ,object,", ",Amharic,2024-04-21 10:07:00,moderate,: ,place,", ",historical
primary,mostly34-0377-4c1b-917e-6dd52309b68c,KnowledgeDomain:KnowledgeGraphTriple,E_aspect,organization,", ",Amharic,2025-06-04 21:19:00,strong,: ,concept,neural_T,historical
neural_aspect,mostly19-3a94-4709-a3aa-9955df0e38d1,KnowledgeDomain:KnowledgeGraphTriple,subject,place,S,Swahili,2025-04-25 10:51:00,strong,predicate,place,2025,historical
,mostly92-623f-40f3-b65a-a2b0e7c07eac,KnowledgeDomain:KnowledgeGraphTriple,predicate,concept,", ",Igbo,2024-10-25 04:22:00,strong,}_graph,place,cultural,timeless
temporal_aspect,mostly88-7da0-45a7-b403-ca97280fe606,KnowledgeDomain:KnowledgeGraphTriple,moderate,concept,: ,Yoruba,2024-11-29 14:49:00,weak,historical,concept,influen ,historical
context,mostlya9-63ee-4c12-8786-bd566a83ee68,KnowledgeDomain:KnowledgeGraphTriple,context_type,place,"2024--31.05:03,:00-0.5-1.438,0.0907,-0.3,1.418,0.7473,-,-0.851923:00,1.07106,-0.0442,} }6-00,0.0607,-0.01,0.76563.2,-06.,030.9516,-0.0616,-0.2274.394,1.48,-1.36,0.38,",Swahili,2024-04-25 23:22:00,strong,contexta,concept,", ",current
}ag,mostly88-50c4-48c9-bf78-a39545f662d8,KnowledgeDomain:KnowledgeGraphTriple,conceptv,concept,objectmannd s,Swahili,2025-06-05 14:57:00,moderate,place,object,},timeless
S,mostly59-b1e3-4cf0-881b-f867482a1f58,KnowledgeDomain:KnowledgeGraphTriple,: ,concept,predicate,Amharic,2025-08-25 12:30:00,strong,South ,concept,predicate,timeless
T,mostly4d-d388-4355-ba03-5eebae9077ef,KnowledgeDomain:KnowledgeGraphTriple,", ",organization,concept: ,Hausa,2025-08-23 21:45:00,strong,place,place,symbolic_aspect,historical
timeless,mostlydd-e5f7-47f6-bf75-e68917d40426,KnowledgeDomain:KnowledgeGraphTriple,influen_representation,cultural_element,object,Igbo,2025-07-22 00:04:00,strong,predicateen,place,Zulu,historical
neural_strength,mostly13-e814-4be0-aad4-d0cc21302ca5,KnowledgeDomain:KnowledgeGraphTriple,context,event,conceptc_altriaemou ,Amharic,2025-06-24 15:11:00,weak,subject,place,G,historical
2024-13 ,mostlyfc-d0b4-4908-915d-29a9329d1dc8,KnowledgeDomain:KnowledgeGraphTriple,,cultural_element,",T_t",Zulu,2024-08-04 23:12:00,strong,knowledgea,cultural_element, ,current
Ek-,mostlycf-3ad4-473c-b8b9-77009f4999d2,KnowledgeDomain:KnowledgeGraphTriple,knowledge_type,cultural_element,G,Zulu,2025-03-06 11:57:00,weak,2024-040103: u,person,,historical
place,mostly1c-f950-45b2-ad9e-36a5b01ba424,KnowledgeDomain:KnowledgeGraphTriple,} ,event, ,Igbo,2025-03-08 15:11:00,moderate,concept {,cultural_element,:} ,historical
",-T1-050.03,-1.282,-1.4,-0.4816,.28146115,0.1.36,1.3360,-0.36,1.525,0-T003",mostly7e-14dc-471e-91b6-2503fa4a8e8d,KnowledgeDomain:KnowledgeGraphTriple, ,concept,temporal,Yoruba,2024-02-27 06:36:00,strong,subject,concept, {ey and,historical
concept,mostly5c-f950-4cbc-9054-cacf7d1fa04f,KnowledgeDomain:KnowledgeGraphTriple,place,place,Cahransot symi Africa,Swahili,2024-04-19 09:19:00,moderate, ri ofanna Africa intasedk,place,S ,historical
I,mostlya9-8219-453d-9d74-d4f9b0eb175c,KnowledgeDomain:KnowledgeGraphTriple,concept,concept,historical,Igbo,2025-04-02 23:49:00,moderate,"2025ge-T1--T13T1.4,-02.26,0.47,1..43,0.1799.,10.97,0.39,0.287,-0.6,0.21-1,0.104,1.4,1.362},0.29,0.0196,1-01,--0.542,-1.072,0.7,1.,50.6128,0.2.,1.53,0.4309,474,-00.287,2",concept,-,historical
moderateor,mostlyd4-b083-4244-81a2-2c03a40f8a6e,KnowledgeDomain:KnowledgeGraphTriple,temporal_representation_type,place,2025,Igbo,2024-04-07 03:14:00,moderate,: ,concept,E,historical
Amharic,mostlyb5-79be-4ab4-9889-54f7682892fd,KnowledgeDomain:KnowledgeGraphTriple,", ",concept,}} ,Swahili,2024-05-11 01:51:00,moderate,context,organization,place_language ,current
Nggr,mostly88-e5df-467f-9088-86020c6bbe2d,KnowledgeDomain:KnowledgeGraphTriple,_aspect,place,G,Zulu,2025-06-29 09:42:00,moderate,: ,organization,C,timeless
", ",mostlyfb-03b9-4661-b577-8bde5397469b,KnowledgeDomain:KnowledgeGraphTriple,", ",cultural_element,}_concept,Shona,2024-12-21 21:36:00,moderate,conceptan,place,objecty,historical
object,mostly88-44e3-4ade-b881-bcab69188872,KnowledgeDomain:KnowledgeGraphTriple,subject_graph,place,G,Swahili,2025-05-29 19:28:00,moderate,", ",place,relationship_at,current
2024,mostlyea-6d3d-4481-bfc1-967ade6a82d2,KnowledgeDomain:KnowledgeGraphTriple, ,event,place,Swahili,2025-05-21 07:03:00,strong,", ",place,neural,current
: ,mostly12-203d-486e-883b-93b3737853d5,KnowledgeDomain:KnowledgeGraphTriple,knowledge_aspect,concept,moderate,Igbo,2025-04-02 16:44:00,strong,_,person,object,historical
neural,mostlyac-cf6b-4483-9b03-89c00ae4443f,KnowledgeDomain:KnowledgeGraphTriple,E,concept,: ,Igbo,2025-06-14 02:29:00,moderate,I_type,organization,moderate: {,historical
neural,mostly0e-c355-4dba-b884-c33a82bf69c6,KnowledgeDomain:KnowledgeGraphTriple,subject_languages,concept,: ,Shona,2025-02-19 04:36:00,strong,context,person,,historical
symbolic_type,mostly69-83e2-48af-8d9f-c0dd94e8382a,KnowledgeDomain:KnowledgeGraphTriple,2025,place,E,Shona,2024-12-07 14:39:00,strong,is,place,:- ,historical
strong,mostlyef-8f06-45b2-8bac-96db21a60b94,KnowledgeDomain:KnowledgeGraphTriple,strong,concept,symbolic ,Yoruba,2024-05-05 18:23:00,strong,contexte,place,20251-222,historical
conceptbcp,mostly52-acf8-4d19-8bf2-025073133c9f,KnowledgeDomain:KnowledgeGraphTriple,object_strength,organization,"}, 0.1648,1.5722,-292,0.78104:",Zulu,2024-04-08 18:37:00,strong,}} {,person,2024-,historical
",",mostly92-261f-49e0-ae39-b5a58ec16618,KnowledgeDomain:KnowledgeGraphTriple,timeless,place,subject_at,Zulu,2025-07-29 14:04:00,strong,: ,person,subject,historical
neural_embedding,mostly9b-26da-4d39-aeed-9a453f8d27be,KnowledgeDomain:KnowledgeGraphTriple,M,cultural_element,cultural,Igbo,2025-03-14 07:29:00,strong,cultural,place,primary_,historical
: ,mostlyc2-d856-401a-a843-a4d8ae9810b8,KnowledgeDomain:KnowledgeGraphTriple,predicate,place,relationship andtsepn,Shona,2024-05-14 14:00:00,strong,knowledge__type,place,M,historical
neural__n,mostly88-7b9a-4a30-8768-b36a754a8365,KnowledgeDomain:KnowledgeGraphTriple,", {",place,concept,Igbo,2024-12-07 22:03:00,strong,Sari,place,place,historical
}_embedding,mostly13-c2d7-4f73-9d45-7767b10f6f4a,KnowledgeDomain:KnowledgeGraphTriple,,concept,neural,Shona,2025-09-29 17:32:00,moderate,context,place,subject_at,timeless
predicate,mostly60-f9c0-470e-8d98-781ac4d8cf35,KnowledgeDomain:KnowledgeGraphTriple,knowledge ,concept,{00,Oromo,2024-10-11 23:34:00,strong,"N.713iic, ",person,is ,historical
} ,mostly84-3ee1-44c1-9206-7952e589464f,KnowledgeDomain:KnowledgeGraphTriple,context,cultural_element,relationshipdou-or and ,Hausa,2024-09-18 14:22:00,moderate,A,concept,relationship_at,timeless
concept,mostly8a-06ef-452e-a43e-0db670539a63,KnowledgeDomain:KnowledgeGraphTriple,historical,concept,contexte: ,Shona,2024-07-14 14:13:00,strong,_representation,concept,: ,historical
E_graph,mostly64-e3b0-4043-b8de-a85671511e4a,KnowledgeDomain:KnowledgeGraphTriple,knowledge_,concept,object,Zulu,2024-05-29 02:22:00,weak,symbolic_representation,event,subjectortype,historical
moderate,mostlyf9-e349-4fdd-8b89-103b73e7ee4b,KnowledgeDomain:KnowledgeGraphTriple,2025,organization,temporal_,Igbo,2025-08-28 08:09:00,moderate,",s",place,", ",timeless
Cmal,mostly05-3784-43fd-a912-4a55fa4ff9b3,KnowledgeDomain:KnowledgeGraphTriple,place,place,concept,Swahili,2024-04-15 08:03:00,strong,conceptb,place,Zulu,historical
{,mostly82-1645-4ae8-9ded-1ea71a10a82d,KnowledgeDomain:KnowledgeGraphTriple,K_embedding,cultural_element,A-,Swahili,2024-11-21 23:22:00,strong,}: ,object,neural,historical
2025Ts ,mostlydc-4f9b-4c4d-8cf0-4e71c8b387ac,KnowledgeDomain:KnowledgeGraphTriple,neural_embedding,concept,Swahili,Oromo,2025-09-29 17:32:00,strong,Pn_graph,person,object,historical
place,mostly26-1cdb-4a64-81e6-e688459ad674,KnowledgeDomain:KnowledgeGraphTriple,Zulu,concept,2024-1008,Hausa,2025-07-27 15:55:00,moderate,: ,concept,subject_type,historical
object,mostly40-1619-4806-aadb-27b5faae52a8,KnowledgeDomain:KnowledgeGraphTriple,"strong1.846,1",concept,moderate-07_04: ,Yoruba,2025-05-05 02:55:00,moderate,place,concept,: ,historical
predicate,mostlyfb-c2db-4dff-8ee0-aa9dde0fd96c,KnowledgeDomain:KnowledgeGraphTriple,concept ,concept,}} ,Zulu,2025-01-10 10:40:00,strong,2025_embedding,event,temporal_representation,historical
Igbo,mostly63-30ac-4628-8e03-ed76b2cf0f71,KnowledgeDomain:KnowledgeGraphTriple,predicate,organization,South,Swahili,2025-07-29 19:57:00,strong,_strength,event,subject,historical
object,mostly6e-71fe-4213-81ce-21648a29f50a,KnowledgeDomain:KnowledgeGraphTriple,organization,cultural_element,: ,Swahili,2025-05-15 17:11:00,moderate,Swahili,concept, ,timeless
symbolica,mostly05-60da-4d94-9daa-696cde68a2f3,KnowledgeDomain:KnowledgeGraphTriple,predicatei,place,2025_,Amharic,2024-04-10 18:33:00,moderate,subject_graph,event,knowledge ,historical
symbolic_{,mostly50-83a8-45e1-a1bf-8a1ba0447e0d,KnowledgeDomain:KnowledgeGraphTriple,object,organization,temporal_aspect,Shona,2024-11-13 02:27:00,strong,"2024-1.172,48..563051,-0.483",concept,relationship,historical
subjectnc,mostly85-67e6-4f67-82a0-bb90b022177e,KnowledgeDomain:KnowledgeGraphTriple,historical,organization,context,Yoruba,2025-04-19 00:55:00,strong,timeless,person,", ",historical
South{,mostly0b-f28b-4dd7-a23a-d57e50a73817,KnowledgeDomain:KnowledgeGraphTriple,", ",cultural_element,: ,Swahili,2025-07-03 13:52:00,moderate,objectsy of,place,2025,historical
object,mostly0a-3f7a-4743-aa27-e7cb8c12a93d,KnowledgeDomain:KnowledgeGraphTriple,concept,concept,neural,Amharic,2024-03-22 09:34:00,strong,", ",place,"is-0.8746,-0.028,012.20,-0.663,0.02-090,0.96,08.48T.59,-0711:}491,-",historical
context,mostlya8-090d-45c9-9281-c59799222286,KnowledgeDomain:KnowledgeGraphTriple,symbolicriksorc_language,place,temporal,Amharic,2025-02-24 14:45:00,moderate,symbolic_type,event,predicate,historical
} ,mostlyed-278d-4c04-9af2-ee381ee401bb,KnowledgeDomain:KnowledgeGraphTriple,symbolic_graph,concept,contextte-icce a Africasle}ingg o mci vededansvorier,Hausa,2025-08-04 07:18:00,weak,M_at,object,Swahili_type,historical
relationship ,mostly63-3ecd-4d92-9ed9-0333c1ebe88a,KnowledgeDomain:KnowledgeGraphTriple,strong,concept,: ,Zulu,2024-02-19 21:00:00,moderate,historical-0049 ,person,object,historical
subject,mostly5f-5760-449d-93a6-59c99476a28c,KnowledgeDomain:KnowledgeGraphTriple,historical,event,context,Yoruba,2025-06-16 14:11:00,strong,object,person,predicate,historical
}_type,mostlye0-8cd7-4d82-8f98-9ffd8d0e1c83,KnowledgeDomain:KnowledgeGraphTriple,knowledge_language,place,A,Shona,2024-04-03 03:19:00,moderate,symbolic_typescorat ,place,primary_language,historical
concept,mostlyca-9812-4891-946c-c757c342ed86,KnowledgeDomain:KnowledgeGraphTriple,moderate ,concept,personlstrength andrtedth,Zulu,2025-05-24 14:36:00,weak,object,place,: ,historical
: {,mostly04-595e-4b31-ac1c-cc15d4c59e5f,KnowledgeDomain:KnowledgeGraphTriple,place,concept,"M.1800..2508,-192,-0.43",Igbo,2025-09-27 23:52:00,strong,relationship_ ,person,concept_,historical
relationship_graph,mostly9d-af1e-439b-9337-b6c035b157cb,KnowledgeDomain:KnowledgeGraphTriple, ,cultural_element,neuralembedding ,Yoruba,2025-05-24 14:57:00,moderate,context,cultural_element, ,historical
Igbonthyes,mostly5d-ab97-4bb1-836a-aeef18c0a676,KnowledgeDomain:KnowledgeGraphTriple,object,event,conceptdraalari,Zulu,2024-03-21 15:49:00,moderate,concept,place,subject{ and ,historical
timeless,mostly51-d1f2-4563-a9d2-a35a0e2a365c,KnowledgeDomain:KnowledgeGraphTriple,South ,place,: ,Swahili,2024-01-28 20:20:00,strong,subjectembedding,place,concept_thalrs,current
moderate,mostlycc-c2f7-4fb4-b336-7cac0425523c,KnowledgeDomain:KnowledgeGraphTriple,knowledge_aspect,place,place,Shona,2024-04-11 12:27:00,strong,:00,concept,", ",historical
place,mostly47-7cf7-45e7-b548-babb74a72a72,KnowledgeDomain:KnowledgeGraphTriple,2024_language0,concept,recorded_ator,Amharic,2024-06-11 00:19:00,strong,G0,concept,temporalt ,historical
neural_language,mostlyd7-fb2f-455d-8bac-44a6a248b91c,KnowledgeDomain:KnowledgeGraphTriple,Nys,concept,neural_,Igbo,2024-09-27 11:32:00,moderate,temporal_type,person,C} ,historical
subject,mostly8e-9729-4601-a543-fedf53db296e,KnowledgeDomain:KnowledgeGraphTriple,subject_at,place,S,Swahili,2024-01-05 07:00:00,moderate,relationship_language,place,: ,current
",at",mostly34-c24b-4797-ad4a-ce78211a754b,KnowledgeDomain:KnowledgeGraphTriple,: ,person,temporal,Hausa,2024-05-19 14:41:00,strong,predicate,place,object,historical
2024-3-0.380246,mostlyf0-d2b7-4d9b-a4a5-51919b1b3d52,KnowledgeDomain:KnowledgeGraphTriple,temporal_language,object,strong,Yoruba,2024-02-03 03:04:00,weak,temporal_representation{,organization,temporals- andctdced,historical
