activity_type,age_years,description,developmental_milestone,emotional_development,id,labels,lesson_learned,location,primary_language,proverb_or_wisdom,recorded_at,social_context,symbolic_logic
game,10,If,respect,cooperation,mostlya5-a7b8-4f0d-becd-4f741688f540,Childhood:KnowledgeDomain,: ,neural_years,Zulu,neural_years,2024-05-04 18:52:00,"}.03or,1.",
learning,10,neural,developmental_or_orchildhood,empathy,mostlyc1-a9c7-4b01-925a-f7d26d0547be,Childhood:KnowledgeDomain,} ,description,Yoruba,S,2024-02-09 20:37:00,symbolic_milestone,symbolic_.
game,5,playt_ the,childhood,resilience,mostlyc1-970a-4ecd-9e0c-eea012e9e6ba,Childhood:KnowledgeDomain,A {at,2024,Hausa,location,2025-09-11 17:02:00,If_contexting,B: 
learning,4,: ,age_o,curiosity,mostly32-46bf-428d-a272-ffffee61821a,Childhood:KnowledgeDomain,: ,primary_e,Shona,I,2024-02-01 20:57:00,S,respect
physical,12,Ifd the mo f the,", ",confidence,mostly32-b092-4481-9f07-17e46c4f7d51,Childhood:KnowledgeDomain,: ,location,Yoruba,location,2024-11-29 09:09:00,H_years,primary_logic_wisdom
play,10,S ,recorded_logic,resilience,mostly0a-6ff4-4351-83ec-114010a9ccaa,Childhood:KnowledgeDomain,: ,", ",Swahili,primary_wisdom,2025-03-20 12:29:00,S_development,Ifal: .
physical,9,symbolic_language,2025_context,empathy,mostlyf3-025a-49a8-b341-c32f511a00ff,Childhood:KnowledgeDomain,F,"R0., 0{",Oromo,age_wisdom,2025-07-11 08:24:00,P ,If{0edpaor p a.
storytelling,4, ,Amharic,cooperation,mostlybc-9065-4e68-b5b8-270ac41e7e3a,Childhood:KnowledgeDomain,2024,U.,Yoruba,primary_development,2025-05-28 04:45:00,: (,2025atT.
cultural,7,E,neural_language,respect,mostly25-106d-43f4-affa-f6dc422a36b3,Childhood:KnowledgeDomain,recordedor syener si)os ,: ,Igbo,}-020616:-02- ,2025-09-28 19:43:00,age_embedding,", "
creative,7,social,: ,curiosity,mostly3e-7a4f-41ed-88c2-dc822e5975d9,Childhood:KnowledgeDomain,", ",: ,Amharic,R-_at ,2025-08-30 10:02:00,primary_type,"symbolictt and aingas in, thenes."
storytelling,10,proverb_wisdom,", ",empathy,mostly44-6ecd-4647-b569-4bf42fd353de,Childhood:KnowledgeDomain,,2025 ,Swahili,lesson_logic,2025-02-17 04:38:00,proverb_development,
physical,4,emotional_wisdom,}primary andas atwies ,confidence,mostly4a-34da-494d-8065-e2d8e96eb90b,Childhood:KnowledgeDomain,: ,_years,Yoruba,social_wisdom,2024-03-21 06:36:00,", ",location
learning,6,M,lesson_or_wisdom,curiosity,mostly83-a6fe-429b-ab48-f565b4bee952,Childhood:KnowledgeDomain,location_wisdom,"symbolic0,ingy the",Igbo,: (c.,2025-05-17 09:05:00,If_logic,Ife 
game,10,If,B_years,confidence,mostly37-5f0a-4b38-b67a-b1aec5d5f0e9,Childhood:KnowledgeDomain,social_learned,Ifd cs).,Amharic,_neural.,2025-03-05 10:12:00,}_embedding,S_oro the in mmanedeinercss fm.
physical,5,", ",Ber: ,cooperation,mostlyba-01af-4c33-94c9-c5c0c0db5974,Childhood:KnowledgeDomain,developmentale_wisdom,"M-,.",Oromo,description,2024-07-07 09:07:00,S_language,
social,6,symbolic_type,} ,empathy,mostly71-7e93-4acc-8a8c-e78639e074f6,Childhood:KnowledgeDomain,P,childhood,Shona,B ,2025-05-09 23:06:00,lesson_learned,
storytelling,5,symbolic_or_or: ,childhoodas_,respect,mostlyb4-0bd0-458e-8276-744af4a28335,Childhood:KnowledgeDomain,primary_language,: ,Igbo,social_embedding,2025-08-10 08:19:00,location,", "
learning,11, ,2025 ,respect,mostly8a-b635-4908-b293-141178ec5c6a,Childhood:KnowledgeDomain,K,"}}, ",Swahili,neural_language,2024-07-07 01:02:00,primary,: 
game,10,developmental_context,social_ ,cooperation,mostly34-ca69-4169-bc04-695acd93f142,Childhood:KnowledgeDomain,", ",If,Igbo,neural_logic,2025-08-27 02:11:00,lesson_type,: 7s 
game,7,S_ ,emotional_embedding,resilience,mostlyd8-7797-4e0f-9aa4-da8ff3206eb2,Childhood:KnowledgeDomain,R ,_wisdom,Zulu,"cultural_logic: a, ",2025-01-05 17:40:00,M,P_years
play,4,"R andencu, thens.",emotional_milestone,respect,mostlye8-c7fa-446a-a85f-e604d0fe4250,Childhood:KnowledgeDomain,social_development,description,Amharic,lesson_development,2024-04-01 22:30:00,location,Mo
play,12,primary_milestone,,respect,mostlyaf-c137-43d3-bfc3-7c27c57e3ac2,Childhood:KnowledgeDomain,2025_at,", ",Swahili,: ,2025-02-16 07:28:00,location,"S_,"
game,6,Iar.29k.,"Pinglw,",curiosity,mostlyf6-c197-4401-bdd5-efb6001a3113,Childhood:KnowledgeDomain,childhood,Cears ,Hausa,cultural_embedding,2024-09-05 16:55:00,social_context,"socialsocial festssalu, then p"
cultural,7,B ,"recorded_wisdom,0",confidence,mostly2c-50d6-4db0-8df5-c162bab4e559,Childhood:KnowledgeDomain,: ,S ,Amharic,", ",2025-03-27 03:37:00,symbolic_type,: 
game,10,S1o z,", ",empathy,mostly2f-9313-4194-ae33-c77dec6c6f66,Childhood:KnowledgeDomain,: ,",",Shona,age_logic,2025-05-03 21:43:00,U,E_learned:
cultural,4,"neural_years, ",emotional_development,respect,mostly3e-c09b-424b-ae66-c506d7e5cc51,Childhood:KnowledgeDomain,If,", ",Amharic,}} {{,2024-07-22 08:07:00,activity_learned,recorded_type
game,11,", ","age0.5,0.5,-0.116,-2.",cooperation,mostly07-3a0a-481e-99a5-b17df9db7e4b,Childhood:KnowledgeDomain,I,M_wisdom,Shona,,2024-05-07 11:07:00,: ,activity_
game,3,symbolices;s thenoe;uesat,symbolic_type,cooperation,mostly2c-dbc4-47cb-8160-344bcebf62ba,Childhood:KnowledgeDomain,social_development: ,"-10.6857,-1 and1112,-110.6914,: ",Zulu,primary_development,2024-05-07 22:25:00,: ,If themeas
game,8,learning}00,_development,respect,mostlyc7-9857-45f8-ac85-10bb56770b97,Childhood:KnowledgeDomain,primary: ,", ",Oromo,"-.397,--0.-0710",2025-02-08 06:11:00,If,description 
physical,10,P {,primarylanguage,confidence,mostlya5-515b-46f6-ae0a-8806cc977d22,Childhood:KnowledgeDomain,"emotional.0549 and, and p ",developmental_milestone,Amharic,}{,2024-07-08 06:10:00,Ealedic.,", "
play,8,2024__.,activity_ing,resilience,mostly56-541c-478f-964e-c8d339e46a6e,Childhood:KnowledgeDomain,"-2..027,0.62,1.13.206:,-0.92.T,.7-, ",Swahili,Shona,recordedorw_wisdom,2025-09-26 15:54:00,lesson,primaryor-ar: 
cultural,9,social_embedding,F,confidence,mostlyf5-f2bb-4c10-aa42-09f454d20690,Childhood:KnowledgeDomain,proverb_language,primary,Igbo,C ,2025-02-08 09:36:00,location,If andceen inaes w in ws 
social,4,primary_wisdom,2025_development,creativity,mostlyee-9ef3-40f5-9614-5637dcc3b2df,Childhood:KnowledgeDomain,"2025-.7.6,1.,0.619147,- and11-04.678,-,0.907,0.42,0.8-17,1.60428,-1.19,0.3989,-0.492-19,-0.4",", ",Amharic,primary_: ,2025-06-26 22:47:00,location ,description
play,12,proverb_embedding,description,cooperation,mostly9a-212f-4640-aaae-8beb6e2fe594,Childhood:KnowledgeDomain,,proverb_years,Shona,primary_logic,2024-05-23 13:00:00,", ",: 
social,11,location,primary_language,respect,mostlyde-e88c-4abc-947d-675a495d597a,Childhood:KnowledgeDomain,If,",18.131.,0.9,-81 and,0.865,-0.6-11109",Yoruba,emotional_context,2024-08-05 17:05:00,} a,"20240.5850-,37."
creative,7,primary_embeddings,neural,respect,mostly24-8f0b-4e47-afcc-06228ea1160e,Childhood:KnowledgeDomain,confidence,description,Amharic,R_logic,2024-04-02 10:30:00,proverb_at,proverb 
creative,9,proverb_type,", ",confidence,mostlybb-2aa6-4bd2-9196-587aefbc94c0,Childhood:KnowledgeDomain,social_embedding,social,Zulu,Hausa_milestone,2024-08-09 16:07:00,U,childhood
play,5,location,F ,empathy,mostly77-02bb-4543-a767-fa16420aadd5,Childhood:KnowledgeDomain,: ,2025 ,Zulu,learning}}.,2025-02-03 17:49:00,,developmental_embedding
learning,8,", ",activity,respect,mostly82-667d-418e-9cda-71127803c7b8,Childhood:KnowledgeDomain,lesson_logic,developmentalneural_embedding,Igbo,: t{,2024-09-30 01:59:00,Hausa,primary_embedding: y
game,5,symbolic_at,childhood,resilience,mostlyf3-06f5-4906-a205-a56740057653,Childhood:KnowledgeDomain,,location,Hausa,", ",2024-04-28 09:47:00,P hatls,Hausa
play,6,: ,P_development,respect,mostly53-d7b7-4060-8824-4e4387384836,Childhood:KnowledgeDomain,activity_milestone,neural_at,Yoruba,}T: ,2024-11-10 07:35:00,respect.,2025 
cultural,12,: ,lesson_milestone,confidence,mostlye2-0a12-4e88-9c05-b7dcee9997b0,Childhood:KnowledgeDomain,,,Amharic,Ifa  {,2025-04-08 15:40:00,", the",If theedy andaiv ak.k
physical,8,: ,_milestone,confidence,mostlyf6-6ca6-4a51-994e-3606c8f45a82,Childhood:KnowledgeDomain,symbolic_logic,activity_embedding,Yoruba,"S_,yearslanguageesay c; ",2025-07-26 13:45:00,M,respect
cultural,12,} ,proverb_or-1.,respect,mostlye5-3dbb-465c-92a4-5713b8ac047b,Childhood:KnowledgeDomain,neural__location,_at,Hausa,social_development,2024-03-21 07:02:00,} {,Cprimary_milestone: 
game,5,R_learned,activity_wisdom,respect,mostly11-2b7e-46e7-827d-41e6b848d61f,Childhood:KnowledgeDomain,E the,Se,Hausa,proverbor__wisdom,2024-08-05 10:32:00,"Pal, and inwmme.",: 
learning,7,location,developmental_years,confidence,mostlyfe-ec3a-4eb1-b95c-c99d2ad6f016,Childhood:KnowledgeDomain,-1.,}} {,Igbo,If and the ,2024-07-10 13:29:00,activity_development,Swahili
game,6,description,O: ,respect,mostlydc-e5c5-46c3-abc5-f7f5d42a5ffb,Childhood:KnowledgeDomain,recorded_milestone_: ,age_development,Swahili,recorded,2025-06-26 06:30:00,lesson_logic,neural_logic
cultural,12,", ", ,respect,mostly7a-9365-4111-84ac-f462224fa506,Childhood:KnowledgeDomain,lesson_-,ageprimaryeasaw ted.,Swahili,primary_at,2025-03-02 08:33:00,description,location
storytelling,9,":_socialeatp, ",: ,curiosity,mostlye5-56bf-4a56-ab16-682d163ea427,Childhood:KnowledgeDomain,neural ,primary_at,Zulu,Amharic,2024-04-05 21:48:00,} the {,} 
cultural,12,location,: the,respect,mostly61-a6a4-4ca5-a6a2-aaa1bb761a87,Childhood:KnowledgeDomain,learning andan,", {",Yoruba,emotionall_logic,2024-03-25 02:22:00,"B, ", 
learning,8,neural_or,", ",confidence,mostlyf9-ad5e-4834-9765-087e550f9349,Childhood:KnowledgeDomain,childhood_or_milestone,E_at,Igbo,proverb,2025-01-06 14:34:00,social_development,location
storytelling,8,learning,location,confidence,mostly26-dd9e-49cf-9b5b-effadad47472,Childhood:KnowledgeDomain,location,Amharic_,Igbo,lesson_context,2024-05-31 13:36:00,,Zulu 
cultural,11,social: ,activitymae,respect,mostly55-966a-4af4-8060-7a1064988e98,Childhood:KnowledgeDomain,description, {,Amharic,Zulu,2025-05-25 13:36:00,lesson_at,lesson_at-
social,10,P{,If1 thes tym,cooperation,mostly08-28c8-4408-bf25-f260e19e457f,Childhood:KnowledgeDomain,: ,age_: ,Oromo,", ",2024-07-05 06:32:00,C ,developmental_type
social,9,,primary_wisdom,respect,mostly31-a7fb-417c-a4e4-fdaf78a70273,Childhood:KnowledgeDomain,_context,E-08.38_3,Yoruba,If ,2024-03-21 04:44:00,description,: 
physical,8,If ,activity: ,curiosity,mostlyaa-2e89-4c44-80bf-8333a24748c0,Childhood:KnowledgeDomain,M,childhood,Shona,2024,2024-04-10 22:01:00,symbolic_logic,}
creative,3,", ",If,creativity,mostlyb6-63ff-43cb-b922-b96b253e9304,Childhood:KnowledgeDomain,lesson_,confidence,Zulu,S_development,2024-07-01 12:11:00,age0_yearse,", "
storytelling,7,", {","I,Tp, thenw0.60.",confidence,mostly55-fb6c-4d58-a34c-a91ff1eb22c8,Childhood:KnowledgeDomain,symbolic_milestone,description,Zulu,", ",2024-08-26 00:26:00,developmental_language,proverb_language
game,7,2024or_type,"},",cooperation,mostly44-6a11-4a92-8b7e-6b24d497ed85,Childhood:KnowledgeDomain,F{,"Hausa-0 and,.",Shona,B fared ben serenb.,2024-07-05 23:19:00,childhood,M
storytelling,11,: ,K,cooperation,mostly35-c8af-486c-907b-449bcc30d019,Childhood:KnowledgeDomain,Amharic,"}, ",Yoruba,If,2024-05-27 06:09:00,K,"Nmed in a to, then {"
learning,9,2024_at,location:00,confidence,mostly42-382e-4ec9-8921-7784fc76f719,Childhood:KnowledgeDomain,B_milestone,", ",Oromo,"E fing sing m, thens bed",2025-02-10 09:37:00,Hausa,"emotional, "
cultural,4,proverb_language,: {,creativity,mostlyd4-2111-4f71-9286-6c71dc95a7ab,Childhood:KnowledgeDomain,P,emotional_,Yoruba,activity_wisdom,2025-09-28 19:43:00,developmental_type,",-"
cultural,7,}} {,2025,respect,mostlyc2-7d6f-4613-add5-0de3b87dab38,Childhood:KnowledgeDomain,activity{,,Igbo,Barhe a s a,2025-09-28 19:43:00,recordedsocial,: 
cultural,12,location_logic,:-} ,resilience,mostly3a-0214-4601-aa13-bed6454f1973,Childhood:KnowledgeDomain,proverb_logic,"lessonchildhoodsier u sby a mm, and-0.",Amharic,H_language,2025-02-03 21:21:00,recorded_development,", "
storytelling,4,lessonlogicaer,"If.7,-1.0.769-3",resilience,mostly73-754d-4798-bacd-8b79d414b775,Childhood:KnowledgeDomain,activity_at,Hausa_milestone: ,Yoruba,2024,2025-09-21 01:09:00,,developmental_learned
game,4,Hausaes m and andes s.,lesson_learned,creativity,mostlyac-860d-4102-b5c9-380676b641b8,Childhood:KnowledgeDomain,confidence,cultural,Amharic,recorded_embedding,2024-08-05 21:20:00,E} in to).,2024
social,3,Amharico p1.08,age_milestone_wisdom,confidence,mostlyb4-6fe3-495c-9993-f6eabe15238b,Childhood:KnowledgeDomain,:- ,,Shona,proverb_language,2025-06-21 07:05:00,M{,A
cultural,7,symbolic_at,P,confidence,mostly76-c29c-40b4-ab7d-1e162cf3aabc,Childhood:KnowledgeDomain,: ,recorded_or_wisdom,Shona,Swahili,2025-01-31 13:48:00,neural} {,lesson_learned
learning,5,location,childhood.,respect,mostlye4-9cd2-4f31-bda3-3d6cebe9b42e,Childhood:KnowledgeDomain,cultural,If the,Zulu,age_learned,2025-09-28 19:43:00,neural_type,lesson
play,3,agel_ s mmingtsi ist,description,empathy,mostlyfc-4dd0-43a5-99ef-7f480f74008b,Childhood:KnowledgeDomain,S_years,description,Zulu,", ",2024-07-20 10:02:00,_logic,Hausa: 
play,3,: ,: ,curiosity,mostlycc-46d6-47b3-9675-8e8f59a115bf,Childhood:KnowledgeDomain,neural_or,primary_years,Zulu,childhood,2024-02-29 10:51:00,neural_type,description
cultural,4,play,symbolic ,curiosity,mostly8d-9c77-4ebd-9dcc-9ab5bddd0ac2,Childhood:KnowledgeDomain,,primary_development,Hausa,", ",2025-03-09 16:01:00,Ifw,"--0.587,-0.4506--,-0.4506 "
learning,10,location: ,neural_at,resilience,mostly87-367c-4578-9e6d-fad141ab958c,Childhood:KnowledgeDomain,developmental_type,neural_embedding,Shona,2025,2024-10-24 00:07:00,B_context,age_milestone
cultural,12,activity_years,lesson_type,empathy,mostlya9-2b63-4de4-914f-faefad43b835,Childhood:KnowledgeDomain,primary_context,":, ",Shona,neural_or_an,2024-12-21 19:46:00,emotional_development,If.
physical,5,location,social_,cooperation,mostly51-2a21-4036-b21d-f802014460e6,Childhood:KnowledgeDomain,"2024, ",B_type,Yoruba,{,2024-08-27 04:40:00,lesson_at,location
play,7,primary_context,2025,respect,mostly83-fb00-4fca-87f2-204e47d103e3,Childhood:KnowledgeDomain,respect_milestone_wisdom,C_logic,Oromo,If,2024-03-21 19:07:00,"20241.56,107","recorded_,_embedding"
creative,10,C_logic,lesson_learned,respect,mostlydd-1878-4df0-83ac-3783fed78b67,Childhood:KnowledgeDomain,developmental_-: ,Ningoringi and m;-eyb wing b,Igbo,", ",2024-10-03 19:49:00,", ",If
cultural,12,O ptwa) m a,"2024, ",confidence,mostly56-541c-4716-83b4-a5df8ecbeb7b,Childhood:KnowledgeDomain,", ",primaryaral,Zulu,"20251, ",2024-07-05 01:21:00,{,M
learning,3,age_recorded,confidence_wisdom,curiosity,mostly7e-f635-4bae-a915-62a2faa2e216,Childhood:KnowledgeDomain,activity_type,cultural,Igbo,primary: ,2024-05-28 04:02:00,P1. a.,"lesson}00,--807-04,-0.61,-0."
play,9,If {,} ,creativity,mostlyb3-2c4c-4774-878d-b48aee4e066f,Childhood:KnowledgeDomain,Swahili_years,lesson_embedding,Swahili,2025,2024-04-30 01:51:00,S{,social_type
game,4,"developmental-0.1,,-0.532,-0.2302.357, ",: ,creativity,mostly16-4771-45d3-a0c0-a9dd9bb2c0a5,Childhood:KnowledgeDomain,} andr totoanes.4,cultural,Amharic,} a {,2024-02-29 02:11:00,respect,H fru bts;
game,5,description,}: {,confidence,mostlyae-2975-4ad2-a30b-ca06d60dc56f,Childhood:KnowledgeDomain,_activityor,recorded_development,Zulu,"M as, then0.",2025-08-20 19:33:00,neural_years,", "
physical,7,", ",social ,creativity,mostly68-44c9-47b9-a41f-cbe167030f44,Childhood:KnowledgeDomain,R0..,"Per esor a_language, ",Amharic,proverb_years,2025-09-28 19:43:00,"-219-0.7,-08T0309T,1.672",: 
physical,7,: ,: (esors,curiosity,mostlyf8-a371-4638-96a8-e3d3a96b7364,Childhood:KnowledgeDomain,"social:, ",If the,Oromo,primary_logic,2025-03-11 21:53:00,}00, 
cultural,12,activity_milestone,childhood,respect,mostly03-8b10-466b-9f72-8abde47e335a,Childhood:KnowledgeDomain,If youm inp)by,",",Yoruba,developmental_years,2025-08-16 19:33:00,", {",proverb_: 
cultural,3,primary,"O aaas ried topi, and al.",cooperation,mostly02-fbbc-4523-9ebf-6a3e01a7c62e,Childhood:KnowledgeDomain,symbolic_context,"2025-,-0.14703,,0..",Amharic,"culturalresi andeoue, {eser a t.",2025-05-10 23:03:00,neural_embedding,activity1.
learning,9,symbolic_language,symbolic,respect,mostlyd3-842f-464c-8493-7509d77c3907,Childhood:KnowledgeDomain,location,sociale andp aing a ca the c f ,Swahili,:learned,2024-12-10 23:58:00,If sii ftsing iscan,I
creative,8,primary,A,creativity,mostly90-d3bd-424e-bd30-046c968da2bb,Childhood:KnowledgeDomain,,Sing,Zulu,", ",2025-04-30 15:21:00,:,"lesson, thenat"
storytelling,7,"lesson_emotionalorlogica w, f wall.",emotional_milestone,resilience,mostlye5-3a63-4b8a-9503-5cce46499ebc,Childhood:KnowledgeDomain,",0.0760.548,-18,.6,-5.9.396.8,0.11823,-T.26,0.,0.46,-0.907,1081, ",", then",Oromo,"O_or_,--0.",2025-05-04 16:44:00,: ,recorded
play,9,R_learned,proverb,curiosity,mostly9d-9764-4a4a-85ee-b632f81f4430,Childhood:KnowledgeDomain,activity_context,childhood,Swahili,}} ,2024-10-03 23:45:00,neural_embedding,
physical,6,_,B_embedding,curiosity,mostlyfe-6f7d-43d5-8d6c-d040bc5fba3b,Childhood:KnowledgeDomain,2024,"I a, ca h, and1ort in and theao the a toalwalbtes is; hening andcpk.",Igbo,K_type,2024-03-17 21:58:00,cultural.,A_logic_learned
game,5,M ,R_language,empathy,mostlyd6-34f1-4dad-a075-96a1018ee15d,Childhood:KnowledgeDomain,neural_typek,description,Oromo,emotional_at,2024-02-21 11:53:00,", ",neural_context
game,12,E,proverb_milestone,resilience,mostly62-4934-48cb-9181-70de9ce89cb3,Childhood:KnowledgeDomain,If_language,learning,Oromo,primary_logic,2024-07-21 01:30:00,description,"play thear p w, then p and andy iny."
creative,3,developmental_embedding,,confidence,mostlyef-2430-4078-8742-b436f8882308,Childhood:KnowledgeDomain,,,Igbo,socialemotional_embedding,2025-06-19 06:22:00,", ", 
cultural,4,If.,age_-,curiosity,mostly09-fc73-4a2d-aa27-566cf9134c4f,Childhood:KnowledgeDomain,developmental_development,age_,Yoruba,recorded_: ,2025-04-05 14:56:00,: ,confidence
physical,12,location,social_logic,resilience,mostly64-ffb7-4c64-ac78-aede60de7d75,Childhood:KnowledgeDomain,Hausa_wisdom,,Shona,: ,2025-08-30 04:42:00,recorded,confidenceorer tes; f ineer.
learning,4,,Ra and poin acsk and waingy hc and ses).,curiosity,mostlyb1-4b97-4aff-8232-afc7aa81910b,Childhood:KnowledgeDomain,: ,social_at,Yoruba,developmentale_language,2024-05-21 03:16:00,activity-0.,description
learning,3,age_years,F,resilience,mostlye1-f0a8-4931-abf0-842e80277624,Childhood:KnowledgeDomain,developmental_:-,recorded_ ,Zulu,If,2025-09-28 19:43:00,: ,activity_type
cultural,12,:_learned,emotional,cooperation,mostlyc7-a414-4369-8694-980361a9ce4f,Childhood:KnowledgeDomain,202573 the m,developmental_development,Igbo,proverb,2024-04-22 17:28:00,F,neural_milestone
storytelling,4,recorded,"For as- f,0.23,1,-0.",respect,mostlyd8-72ea-4a92-8718-17f84e0e9519,Childhood:KnowledgeDomain,R,neural_logic,Yoruba,C_learned,2025-05-10 16:47:00,", ",", "
game,3,", ",,resilience,mostly1e-bb5d-4bcb-b526-2d61b3d8debc,Childhood:KnowledgeDomain,", ",If_development,Yoruba,M,2024-11-04 03:45:00,confidence,description
learning,6,developmental_type,}_logic,confidence,mostlyf6-38ae-4c0c-9edb-b82e8bc8834a,Childhood:KnowledgeDomain,} {,cultural,Yoruba,activity_milestone,2024-04-26 09:07:00,description_context,developmental_milestone 
learning,5,2024,M,curiosity,mostly00-e567-47dc-b375-f638dcc7ead0,Childhood:KnowledgeDomain,social_wisdom,H ,Yoruba,",",2024-03-17 20:06:00,If a,", "
social,9,", ",social,creativity,mostly2a-4478-4702-91df-e32853700367,Childhood:KnowledgeDomain,neural_context,symbolic_type,Swahili,} ,2024-08-09 13:37:00,childhoodneural sing and c)k (s ,primary_language
cultural,12,R ,activity,respect,mostlyf3-d657-4d5f-ae82-2a7642b10e55,Childhood:KnowledgeDomain,", ",O_proverb: ,Yoruba,lesson.,2024-08-19 10:30:00,childhood}0.,location
physical,9,age_years(_type,F_embedding,curiosity,mostly82-ebb2-4c67-a691-ef9511e22350,Childhood:KnowledgeDomain,description,P_at,Shona,"emotionaldevelopmentler,-T.5,-0,0.17406,0..1.04, ",2024-01-03 02:19:00,: ,learning
creative,10,", {",Zulu_development,cooperation,mostlya6-8b44-49cf-9f6e-362287fe106d,Childhood:KnowledgeDomain,location,Iftigm;al tsar.,Oromo,"socialactivityery,- and h-b toerc hesedpken ",2025-07-11 09:47:00,learning,I_development
cultural,9,: ,", ",respect,mostlyff-2cf1-4e9e-a866-eec42f31604c,Childhood:KnowledgeDomain,,T_milestone,Igbo,:00.,2024-01-17 10:55:00,: ,description_development
social,4,"-:--0.6009.T0.4806, ",proverb_language,respect,mostly0f-1d14-4421-b243-582ad3be2ed6,Childhood:KnowledgeDomain,primary_,I,Yoruba,", ",2025-03-17 15:07:00,",00.497,or0.8,06-00.4818,-,0.65,0.2,,11 ",: 
cultural,12,S {_at,emotional_development,respect,mostlyae-ed74-47f1-bb58-7125bf0272bd,Childhood:KnowledgeDomain,"symbolic aar anduin,d-._8",2024,Hausa,: ,2025-02-23 23:38:00,emotional_type,
cultural,12,H.,developmental_at,respect,mostly41-93f7-4068-a928-2f1aa6920033,Childhood:KnowledgeDomain,R ,childhood: ,Shona,description,2024-01-16 23:19:00,activity {,K
play,8,: {,Ifpots,respect,mostly99-c3e6-46c4-9d0f-0186e40c7c38,Childhood:KnowledgeDomain,recorded,", ",Zulu,respect,2024-08-28 17:22:00, ,age_
play,9,developmental_at,culturali,creativity,mostly50-f760-4dd3-aebb-94b386e89a11,Childhood:KnowledgeDomain,: ,learning_s,Swahili,2025_,2024-09-10 10:16:00, ,cultural
storytelling,9,"Ifestkiingcor,ing.03,}1.76,-0.148,.335,0.55",emotional_wisdom,curiosity,mostlyb6-e47b-4f59-b7f4-361c68f9b7ef,Childhood:KnowledgeDomain,: ,,Oromo,"}lesson.05, then7Ted0}ti, {",2025-09-28 19:43:00,,P
physical,10,neural_type,:,cooperation,mostly39-af4d-4872-b884-a3ba4bf7cd86,Childhood:KnowledgeDomain,If a,: (ede toy;ararwuimal p w and and b h.,Hausa,Ifoar m thes stu h withiter {,2025-02-27 05:53:00,N ,"C_orar sa thetscesbe and and and and saler,."
social,9,learning,", ",respect,mostly21-2018-4202-8ea9-5c2b7151aa87,Childhood:KnowledgeDomain,U,emotionalemotional,Zulu,recorded_language,2024-03-23 12:19:00,S,If
social,10,C,",_embedding",cooperation,mostly39-1406-427c-b476-5c0a298375b3,Childhood:KnowledgeDomain,: e,location,Shona,neuralesyar paesu hal the is)a and.,2025-07-26 08:06:00,"}.1.516,: ",activity_learned
storytelling,4,proverb_learnedlanguage,}activity_type,respect,mostly67-4b73-4bd5-a0af-225532ce214f,Childhood:KnowledgeDomain,social_development,: ,Amharic,description ,2025-08-28 12:55:00,sociales the p ( inorr car m anding andts,", "
learning,7,{childhood,description00,respect,mostly25-58f0-4665-a959-561e63fe055f,Childhood:KnowledgeDomain,activity,lesson ,Amharic,social_logic,2025-06-07 15:29:00,description,activity_type
social,8,", ",R,respect,mostlyf8-9188-4455-9384-12a716353a50,Childhood:KnowledgeDomain,learning,activity_context ,Amharic,"lesson:,00-.",2024-03-16 23:47:00,: ,Hl.
physical,6,", ",: ,confidence,mostly88-ae63-4253-b164-5f78d3885051,Childhood:KnowledgeDomain,neural_location,respect,Oromo,Ce_ ,2024-08-19 09:40:00,primary_,"2025-0.046,-20.0421517,0.3"
game,10,: ,- andT.,cooperation,mostlye3-e15d-4043-831b-5480b4cffe33,Childhood:KnowledgeDomain,_wisdom,"A, ",Zulu,location,2024-04-17 09:07:00,N ,Etr inaral;k andsesal ab
cultural,12,2025-0-0.38207.,: ,respect,mostlye4-45fc-4be2-9844-fdf9d49948bd,Childhood:KnowledgeDomain,: ,Pat:00,Swahili,,2025-07-27 05:07:00,description,: 
play,8,O,I,curiosity,mostly2a-2a6c-4f43-86f6-0af3685bbd3f,Childhood:KnowledgeDomain,proverbneural_embedding,childhood,Igbo,If,2024-01-06 23:48:00,lessons,If 
learning,8,recorded_milestone,respect s c aa mines,resilience,mostlye0-7a27-4b1e-a842-da6a960be52e,Childhood:KnowledgeDomain,symbolic_logic,recorded_logic,Hausa,Aasal a b.,2024-06-05 17:16:00,P_ m,developmental_embedding
social,6,R ,social_logic,empathy,mostlyd2-9834-4202-9b4a-69855754ab0d,Childhood:KnowledgeDomain,} ,recorded_context,Hausa,developmental_yearslanguage,2024-08-14 02:38:00,respect_wisdom,
cultural,12,symbolicoor: ,recorded,respect,mostlyeb-5e48-4f78-b936-af01c41e6759,Childhood:KnowledgeDomain,social_orcontext,locationk,Yoruba,", ",2025-02-17 06:48:00,activity{,} {
physical,5,description,: ,respect,mostlyd3-c8ba-44f9-a543-47a557c85e4a,Childhood:KnowledgeDomain,P,"Fiw the dy in andyi keslar inu and b, then p.",Oromo,learning ,2024-04-24 09:43:00,", ",location
storytelling,9,"symbolic, ",I_,confidence,mostly43-cac4-42a8-b9ae-4ee62743b63e,Childhood:KnowledgeDomain,lesson.,: ,Oromo,childhood_,2025-08-08 06:08:00,developmental_development_learned_wisdom,T_wisdom
play,4,", ",activityn,curiosity,mostly55-c1ca-4d56-821b-552248c8a44e,Childhood:KnowledgeDomain,: ,,Hausa,symbolic}_embedding ,2024-07-05 22:06:00,learning,location
