id,ethical_domain,primary_language,scenario_type,description,stakeholders,ethical_tension,cultural_framework,resolution,principle_demonstrated,location,symbolic_logic,wisdom_teaching,neural_embedding,recorded_at
mostly8d-a53a-4fd8-b66c-7e179d04af5e,ubuntu,Oromo,community_decision,"2025-07096,0.1512,8-1705,0.6,0..4,,070.134927,0,0.5.45.",}} ,scenario,neural_at,: ,resolution ,principle,: ,"culturalneural0.,14",ethics,2025-07-01 19:46:00
mostly78-421d-4ba1-b905-90e56abe8e82,empathy,Yoruba,traditional_justice,", ",,Oromo,}} {,ethics,wisdom_dilemma,: ,stakeholderse{,resolution,",0.01,001-0.5268,0.5,--",2024-02-17 10:48:00
mostly4a-1b74-418c-a60e-848a5c0dc59d,integrity,Zulu,conflict_resolution,ethical_logic,Ku ,", ",: ,scenario_type,resolution,scenario ,symbolic_type,O_ ,"2024}om, ",2025-01-20 11:05:00
mostlyf0-351e-487f-91f5-2dfdc8e346d6,ubuntu,Igbo,intergenerational,cultural,symbolic_,location-T09:T:00,: ,stakeholders,2024 ,scenario_},wisdomlogic,"-0.591,0.19,0.4.14085,, ","Ovt k,-jun2-,0.490.6-0T.826: ",2024-10-01 16:35:00
mostlyf1-b1e7-4b1b-9e16-c731a4e4b301,integrity,Zulu,modern_ethics,"S_an0.,-1.59,0..17141973-1280.7,0.897,-0.42,0.4,-}_embedding, ",principle_demonstrated,intergenerational,,}cultural _domain, .,"intergenerational.-07,",:00{,stakeholders,} ,2024-07-13 03:20:00
mostly54-22d3-4ec1-81e2-a6f73d609088,community,Amharic,traditional_justice, ,: 00,description,K__,", ",descriptionTar: ,2024--1,neural_teaching,"-.8:-1..64,1.082, ",intergenerational,2025-08-28 07:20:00
mostlyd9-1910-4e7c-bc0f-5a9eb7ef72df,empathy,Amharic,community_decision,2024-09070209T-: ,traditionald,", ",: ,2024,U,", m",} ,wisdom_domain,"2025---.4021,-T1307ethics-1.,059,0.29,0.8",2024-10-16 00:47:00
mostlycb-1f28-45d8-8d33-6303db5ad840,empathy,Hausa,moral_dilemma,"N, ",recorded,: ,ethical_at,"2024-0.1291929,-0.192,-0.0986,- ",wisdom_at,2024,wisdom_ a,cultural_language,,2024-08-10 04:20:00
mostlyc9-3882-4b1f-92b7-6fc7abf18e40,ubuntu,Swahili,moral_dilemma,: ,stakeholders,scenarioan,":m-100.438,1.,-2",-0.90.4,-04,",--0.157",2024 {,ethical_language,neuralm,2024-01-08 17:23:00
mostlyc6-61f9-4dd4-a663-6af236a3ec43,community,Oromo,modern_ethics,description,stakeholders,", ",ethical_type,: ,wisdom na-00 nato,: ,00,ethics,"Ku, ",2024-12-31 11:54:00
mostlyfd-6b27-49fd-aac3-efd358913551,ubuntu,Igbo,intergenerational,"primary-07,-0.0601,-Tethical_teaching",: ,cultural_embedding,primary_language,2024_logic,", ","}, ",ethicaldemonstrated,: ,", ",2024-12-02 16:39:00
mostly85-d2b2-4446-81ff-0adf2eb98e36,empathy,Yoruba,traditional_justice,2024,ethical_domain,symbolic,neural_logic,H_at,ethical_type1,M ,ethical_teaching,", ",description,2024-02-25 17:16:00
mostlyd7-08c1-4698-8cde-df84a21525f2,ubuntu,Swahili,modern_ethics,} ,}}_at,}: ,primary,symbolic,scenario,_language,M and ,respect ,: ,2024-04-06 04:55:00
mostly83-1b73-4f5f-8164-5580bea36ed9,respect,Shona,modern_ethics,stakeholders,} ,symbolic_demonstrated,ethical_at,ethical_demonstrated,stakeholders,cultural,empathy,neural ,: ,2025-04-08 13:23:00
mostly2c-0cc2-4641-8174-c92f0ef3f99c,respect,Yoruba,conflict_resolution,W_n,location,K{,M ,A_type,",",: ,principle_in,: ,empathy,2024-09-06 10:19:00
mostlycc-afd5-44e5-9785-fcae474e1b9a,ubuntu,Swahili,traditional_justice,wisdom_typeframeworkd,: ,{.,traditional_at,Ndị ,stakeholders,} ,resolution,symbolicframework,resolution,2024-09-25 03:28:00
mostly78-eca2-404a-89e7-cd09d008f17f,integrity,Igbo,conflict_resolution,Nat,U,",_demonstrated",2025 ,"principle-0.147,0.69,-001.92,0.7728,0.7528:02",,communityl,", ",,", ",2025-08-10 10:01:00
mostlyc1-f678-4e39-8540-a03f0fbb0d90,empathy,Yoruba,intergenerational,}  {,neural,stakeholders}_framework,: ,empathy,Twa,ethical_embeddingtension,ethical_demonstrateds,{,description,2024-11-10 17:39:00
mostly68-83f5-4ac5-84bc-a4367f36ed36,integrity,Amharic,community_decision,I: ,"traditional_embedding,",W,ethical_at,justice,ethical_teaching,A,: {,: ,principle_demonstrated,2025-08-22 10:45:00
mostly51-aa65-4462-96e7-b1c5bd0d4421,empathy,Swahili,modern_ethics,neural: ,descriptionframework,", {",: ,", ",neural_domain,:,}cultural ,: {,: ,2024-12-15 09:14:00
mostly48-e0f7-4976-bd9e-7e080beb72e4,justice,Swahili,modern_ethics,stakeholderslogic,ethical__embedding,ethics_,"-principle_type1412,,-0.67 ",cultural,A ,neural_,", ",: ,: ,2025-09-25 10:59:00
mostly71-09f1-447e-9afc-3a4b6cf37db7,empathy,Oromo,intergenerational,ubuntu,wisdomv_language,"cultural nan-in,0.27,-020..,1.27T,0.87,0.7_,1.8.45,71617,-0066,0",2024scenario,", ",K,"ethics-0.17,175,-0.152: ",resolution,empathy,": c. s, .{",2024-07-15 07:24:00
mostly67-6d5b-42fe-935a-8c3157e32401,justice,Swahili,moral_dilemma,description,", ",Shonaọ,neural_embedding ,ubuntu_demonstrated,S,",principle",principlene,Addis_type,ethical_domain,2025-09-15 04:23:00
mostly4a-0bbb-43bd-bdd0-61680fbfdac6,respect,Yoruba,traditional_justice,Adle,: ,"C yabalanọwa, b yaakoninat m,",_framework,: ,description,community_type,stakeholders,resolution,U_demonstrated,2024-08-13 14:52:00
mostly3e-9c57-441e-8ab9-29a95e00d87d,empathy,Amharic,conflict_resolution,", ",_teaching,: ,stakeholders.,resolution ,"-0.,263629..15,0.9030, ",wisdom_tension,: ,recorded_domain,principle_demonstrated,2024-06-05 07:20:00
mostlyc2-5228-4281-841d-8a8fe49f25de,community,Yoruba,modern_ethics,,":wisdoma.o wa-d,-0.1915262,-0.5,3,-0..9,-0.04:00",ethics,-T5-1T6: ,202500,location_embedding,neural_at,cultural_tension,: },"2025-1.T:8, ",2025-01-02 08:51:00
mostlyec-f0f0-4c07-89e3-177314ee7a12,empathy,Shona,conflict_resolution,"} m m, ",ubuntu_logic: ,principle_language,ethics,} { ya na kuai ands,stakeholders_at,resolution,ethical_type,} ,",{demonstrated",2024-01-08 17:23:00
mostlyf1-5315-4237-942b-9fe68af66035,community,Shona,moral_dilemma,recorded_language,scenario_teaching: ,},primary ,,E,Ue_justice:,: ,: ,: ,2024-04-25 06:04:00
mostlyae-ab7f-4f41-9e71-58630ecd9a0b,community,Zulu,conflict_resolution,{,location,"ubuntu}m, ",} ,2024ati,S andling community nabeteogenwa,:} ,resolution,respect},",-0.133196-0.",2024-09-17 00:39:00
mostly76-1296-4042-ba06-a221735a2bf9,justice,Yoruba,intergenerational,recorded,cultural_in00,primary-1ọT04: ,I_teaching,"primary_, ",communityal,stakeholders_typep,: ,stakeholders,", ",2024-03-26 15:51:00
mostly7c-5f8a-44b5-a056-0a6371167c15,integrity,Swahili,intergenerational,K_,_framework,cultural_tension,: ,Kdemonstrated,", ",location ,}:_,"Set wavend migam ma, ab na,",W ,2025-07-31 10:55:00
mostlycf-f615-4823-bd8c-9e0ff623d3ca,justice,Shona,modern_ethics,description,cultural_domain,scenario_type,", ",recorded_domain,{,,ethics,} ,ShonaT ,2024-11-02 00:24:00
mostly2d-9ddb-44d7-88b9-7cc89a920368,empathy,Shona,modern_ethics,ethical: ,resolutiona,resolution ,-2025-T1: ,recorded and ,,scenario_ ,I m,",-1,-5.56,-0.67276,10502..2",location,2024-07-30 10:48:00
mostly6c-bb3c-4a82-891a-14da253eead9,empathy,Oromo,moral_dilemma,:00,ethical_embedding,symbolic_language,", ",intergenerational,"justiceo,-0",}}},ethics,", ",ethics,2024-05-27 22:59:00
mostly99-1b12-4080-b859-5586386e6640,community,Igbo,traditional_justice,neural_embeddingtension,", ",location,:g ,", ",I,: ,,Mneural: ,symbolic,2025-06-25 17:35:00
mostly73-7c70-4290-aa08-b7136ce70637,empathy,Shona,traditional_justice,ethical_,resolution_tension,neural_.,scenario_type, ,neural_at,:00 ,", m",",00,",", ",2024-04-03 09:04:00
mostlyf4-556d-4c9e-b4d0-5b3f9d114d85,empathy,Amharic,modern_ethics,",1.172,--0.9629,1.",2025T}}}00,:,,,: ,primary,symbolic_at,"integrity, ",symbolic_ ,2025-02-09 07:41:00
mostlyb3-28c2-4781-b621-da585aeb0201,integrity,Shona,modern_ethics,Ku_embedding,I ,location,}2024_.,", ",symbolic,"K-01 m0.435,,-1.2800,0.1513,_-0.5926,8,-0.2202,002,-1.",neural_00,principle_teaching,intergenerational_type,2024-07-15 12:30:00
mostlyab-b1b5-4022-82bb-a4e631f620bb,community,Igbo,conflict_resolution,cultural_type,: ,cultural_type,-,modern_: ,"justiceTan aeu yaar and ao, Nigeriariaranain wa nenmei nau- iinolh, v waluno",description,M_teaching,integrity_at,"ethicsh,-11,1.,0.22, ",2024-09-10 18:42:00
mostly99-51de-4677-82b9-af04e9136536,community,Amharic,traditional_justice,N_type,: ,wisdom,symbolic_logic,U ,"-032030.7012,1.132,023.09},-0.813,067-.051..6-43,",} ,description,", ",resolution: ,2025-04-10 22:50:00
mostlyf6-98d4-4109-b2d9-f24f5466a296,fairness,Swahili,community_decision,", ",primary_an,"I0.81712, principle",primary_teaching,", ",primary_at,2025 ,"traditionalan-2- a},-0.90.5,0.13,7.628,0.09048,-0..16.070.14902-0.016",description,: ,2024-02-29 17:10:00
mostly85-b0bf-4874-ad42-3c88578ced08,integrity,Zulu,modern_ethics,: ,W00,neural_language,}} ,principle__domain,symbolic_domain n,: ,ethical_tension,"2024-.907-_teachingteaching0.835,0.4251,-0.7.76,-..92T,-0.7T,017,0.04,0.50,01..9.267,1.194,1.12,-0.93.6,28-0.585,19.06,-0.12,16T",primary_embedding,2024-07-17 18:50:00
mostly00-b9a7-4c0b-8f34-4dd9baa62b48,responsibility,Zulu,conflict_resolution,recorded_logic,"2024-1,-05306 ",: ,_embedding,":-0.16.T94,}0.05,-0.3628, ",cultural_tension,ethical_type,wisdom_.,H,:-,2025-06-13 14:46:00
mostly3b-8bde-4383-a398-0cb20fa4ec34,justice,Zulu,modern_ethics,wisdom_language,ethics,justice_-_domain,cultural_typedemonstrated,scenarioT: ,Oorewab,: ,: ,C ,,2025-05-03 20:47:00
mostly72-979e-4e37-9572-f5d0919c153f,justice,Swahili,modern_ethics,: {,community ,stakeholders ,ethical_Tat,"2024-05-}07.14-239,0151.19-8-059,-2.19,260.902,0.49,1.17735,0.9076,-0.608,0.-2,-0.07660.427,-,0.1.9,-080..268,1..4,0T278.7,148,-08",community,Em,: ,resolution,ethics: ,2024-11-29 23:18:00
mostlyc4-ef55-474d-b1a4-3c5d5e3cb58d,fairness,Swahili,modern_ethics,primary_teachingin,neural:-,", 0",: ,",_: ",principle_demonstrated,primary_at,stakeholders,I_tension,culturalembedding,2024-05-29 13:23:00
mostly98-5d10-4d24-9068-e4bbd0849f4e,community,Oromo,modern_ethics,wisdom_teaching,resolution,"wisdom-1104,:-0.96-0.7",ethical_teaching,scenario_domain,}_tension,scenario_,cultural_at,primary_-1,: ,2024-04-20 12:15:00
mostlyb4-4568-40e3-8dc7-0254a505c4f2,justice,Swahili,modern_ethics,},recorded_at,: ,W,",_embedding","-,-1.8147,0.25.,156-061,08173,0.07181..,0.,-,. {2-: na1.52}}} T4a, vei n, n bwa",: ,respect and n ,,",-1.202,2.819,1..05193,043, ",2024-09-24 00:30:00
mostly12-f2d2-483a-8ac2-8088c5a03cf7,justice,Zulu,modern_ethics,", ",ethical,: ,ethical_domain,} ,ethical_logic,ethical_.,"symbolic:-0.-2,0.4,1080922,2T3,: ",T_logic,principle_language,2024-06-10 23:50:00
mostly70-9cbb-404b-9c03-8b1e857ec15a,fairness,Swahili,community_decision,,_tension,primary_framework,location,Kua,: {,- ,"Cat, ",N,neural_language,2024-06-02 19:03:00
mostlyd7-a589-4194-9e2f-3bbd36eb5a44,integrity,Zulu,modern_ethics,"neural, ",ethical_ ,T_logic,symbolic_framework,M,-_-12:-0.,", ",modern_{,_at,", ",2024-05-11 19:17:00
mostlyf9-4017-41a2-b635-1e3930f907ab,ubuntu,Zulu,modern_ethics,traditionalresolution m,M_type,}ethics,"principleat-.0723,-0.51096,-80.27-,07,-0.8158-,0..049,0.-,0.0.88195-,-0.019,2-151.138,1.0825,1.70 ","M, ",M_domain,ethical,"Aan na-.235,0..415,-2701,-0,0.0847,0.80},1.85,0T07,-00,-0.122.9400856,0.03105",wisdom,ethical_frameworkdomain,2025-07-24 06:39:00
mostlya0-85f7-4f89-b9a2-9339c7618df2,integrity,Amharic,modern_ethics,HTak ya kuh b {,}} ,", ",}resolutions,} ,,neural_tension,ethical_language,Mom ndo mo,H_,2025-05-18 15:59:00
mostly71-5085-4bf5-a64d-a60c550bfff0,fairness,Oromo,moral_dilemma,description-,N ,: ,neural_framework,neural_teaching,stakeholders,", ","-.0849118,1.0.4952,0.35000.7,118,,0.,206-0.-647.48.3,0.221981",scenario_logic,wisdom_tension,2024-09-08 21:34:00
mostly85-cdf8-4372-a6b2-02f5fc310ea7,empathy,Yoruba,conflict_resolution,", ",N,: ,",",wisdom__framework,M,ethical_language,wisdom_type,Oromo na ku alne  wa and na wa m nwar nav ,: ,2024-06-13 12:25:00
mostly51-7f87-4b43-a245-69fc776b67fa,justice,Shona,modern_ethics,: ,I_language,2025-082,I ,resolution,: ,principle_demonstrated,scenario_,: ,I_demonstrated,2024-06-10 02:21:00
mostly8b-0a7c-405f-b0a1-c9361aead540,justice,Yoruba,modern_ethics,"ethical- m, : ",symbolic_type,recorded{,scenario_embedding: ,_logic,ubuntu,: ,M_tension,"-2 naT03-0.83,0.926605 ",principle_language,2024-11-20 10:27:00
mostlyc8-7316-4e15-8476-6218903b94df,respect,Igbo,modern_ethics,description,},,2024: ,} ,Ku,:-f,} ,: ,: ,2025-09-06 07:49:00
mostly9f-b2a1-44ee-a4c3-a4d4e223142c,respect,Zulu,community_decision,,", ",ethical_tension,", ",,ethical_tension,} ,"Kuan,}0.49167,,", ,} ,2024-11-16 13:38:00
mostly67-1d14-4c9f-a4cb-da5f721eea1a,integrity,Igbo,modern_ethics,principle,location ,: ,K_tension,community: ,symbolic ,location,location,Tstakeholdersal: ,: ,2025-09-04 06:39:00
mostlyed-899d-4605-86c6-311510baf94b,community,Hausa,modern_ethics,recorded ,,description,stakeholders00en nayy’sal was,ethical_domain: ,primary_domain,: ,locationlanguage,K,Shona,2025-08-31 12:03:00
mostly8b-3816-4eb1-befc-77e28f48eeb8,integrity,Shona,conflict_resolution,ethical,ethics,M_,stakeholders,}00,location,"Aals,-0.29606-0.,0,1.15",scenariol,K_demonstrated,scenario,2025-03-08 02:08:00
mostlyea-3e1b-485e-981e-b11549c40b33,empathy,Shona,modern_ethics,"M0.08, ",A_e,2025,", ",resolutionc naflpus,principle ,"cultural__logic- and-11-1.5,0,-0.9071447,0.123T,-28-0.9151",_embedding,principle__,community wazi_teaching,2024-02-23 07:23:00
mostly01-f0c6-43b4-87b1-b13b36b5cb4c,justice,Swahili,traditional_justice,"description,",wisdom_teaching,"K_,-",: ,neural_at,", ",location,", ",", ",,2024-07-19 02:26:00
mostly73-efc8-46b4-a00f-638b8796ff8a,community,Igbo,moral_dilemma,ubuntu,ethical_embedding wa,", ",cultural: ,ethics,primary ,stakeholders,: ,scenario__logic,M_at,2025-05-16 10:17:00
mostlye1-1c44-4af3-b86d-7f937ef79495,empathy,Yoruba,community_decision,primary_logic,: ,2025,wisdom_demonstrated,", ",,recorded_language,E ya,"ethics0ey,_domain",symbolic_-,2024-05-14 17:43:00
mostly5f-5975-4dcc-b5ea-430d09f79d77,fairness,Swahili,moral_dilemma,,}} {,recorded_,"-0.6.12,0.336,-1.0116.-0.5,0.49070.801825,-0.07-0.89,0.4310.48,0.5808,13.2,0.83223,0.4,,0.5,1,.4827,1..3,.614,-0.131.71,--100,-.096_2: ",neural_teaching,: ,principle_demonstrated,_,locationar,"0.28,0.48,1.0908,68-0.2040.8,-1.062606, ",2024-05-22 09:03:00
mostlyb0-c096-4e83-8d34-39ccc9f75270,respect,Shona,modern_ethics,"Neat nm-0.09, ",primary_at,community and ,primary_,description,location,} ,: ,"Om, l",C {,2025-01-08 23:00:00
mostly17-4b60-419a-9f6a-29c044908869,fairness,Swahili,moral_dilemma,: ,"K-m,0.170108,0.73,-0.3510.1982,-0.31.5},1..-0, a1,-0T2:00 ya23,  a",}description,ethical_demonstrated,"2024-T20, ",ethical_demonstrated,location,stakeholdersg,scenario_type,"----,--0.42622,0.091907,-0.13606,-0.43272,-2.3..5,-1-",2025-01-20 06:10:00
mostly88-55b3-4121-bb47-c09b3eec7a98,community,Amharic,moral_dilemma,description,symbolicethical_,: ,: ,_embeddinglogic,: ,:1{,K a,: ,: ,2024-07-03 16:39:00
mostly07-b03e-4412-9f7f-662e5c921280,integrity,Shona,intergenerational,", ","cultural0.,,-0.,-0.91.4928,0.0.67,0.45,0.12:-0.94,-0.536-.,0.514209,0.152,-0.,",location,"Noy-, yawa1-",ethical_framework,ethical_justice,: ,: ,_framework,", {",2024-02-23 17:28:00
mostly8b-08da-47a0-a0a9-542715d98421,community,Shona,traditional_justice,",00",: ,"scenario bk,-0.2990.19474,2ethics8.626,0..15010338,0.7.,-0.2503,0.1516,0.5-0.8,0.,-0.0516,-0.45,1113,0.3626, ",2024 a u,I-,ethics,neural_embedding,description,description,Shona,2024-03-16 12:40:00
mostly3c-0214-49ff-90f7-5ca07bbc7c62,ubuntu,Oromo,modern_ethics,community_justice, ,"2024-.173,-0.6103,0.6,0.29,-0.953636,-0.43T,-,0.14436,",location,integrity_demonstrated,", ",stakeholders,: ,2024_,description,2025-09-20 18:09:00
mostlyd0-2be8-43db-b1ee-8c285421cb75,ubuntu,Shona,modern_ethics,ethics,Wv_at,", {",location,K {,description,wisdom__,},2024,", ",2025-09-25 10:59:00
mostly91-818b-4da2-a7a1-1621fd565bab,empathy,Swahili,moral_dilemma,2024_at,_cultural,ethical_framework,description_tension,2024,ethical_language,"community-0.9,-0.98,-1.06,-0.12,-.4717,0.096021,0..48,2,0.27,0-004", {,"principle.23,-.8.35T1.6,1.130.3,-0.7,9",2024,2024-09-02 15:25:00
mostly7d-3d61-48b0-965f-c2209191c584,community,Igbo,traditional_justice,W_domain,: ,location:,", ",scenario_,: ,}_type,: ,description,- abin-02 ,2025-08-16 00:59:00
mostly9d-34d3-403f-bd65-632a2b91b208,respect,Oromo,modern_ethics,primary__ ,",2",symbolic,"ubuntu.it:00, ","neuralv a, b na,-",K,"ethics, ",ethical_,S and,", ",2024-05-16 09:25:00
mostly41-3fc5-4f83-8fcf-0f2259db5b98,respect,Oromo,intergenerational,ethical_teaching,ethical_ ,", ",_type,location,ethical_language,,2024 {s,scenario_embedding,symbolic_,2024-04-22 15:10:00
mostly7a-387f-480a-a210-f7f7aa1c9e63,integrity,Zulu,intergenerational,: {,C,"T-1.9,",resolutionma,recorded} banenatal ba,ubuntu_logic,"M_0.9,0.033, ",primary_framework,ethical_tension,location,2024-03-09 19:00:00
mostly80-a779-4912-98f5-4729a4f1cbc0,community,Hausa,modern_ethics,"2025-0.26,2.0.280.82808,2,0.622:00, responsibility03",location,", ",,} ,: ,stakeholders,Puku,M ya. waiy m,: ,2025-01-27 20:35:00
mostly99-e175-4c9c-a866-88181f3c47a0,community,Zulu,moral_dilemma,description,", ",empathy-,,neural_-.,H_framework,symbolicat,", ",recorded,empathy,2025-01-27 16:05:00
mostlya7-a31e-4937-b15e-86ef77e36d87,empathy,Oromo,conflict_resolution,resolution,neural- m ,", ",I0:00,"principlean.2--1.06T2,.,0.19,0.6,316.12, v",Ndị-,resolution,wisdom_framework,,"-0.1728,-0.-",2025-05-06 07:08:00
mostlyf9-8e39-4047-844d-98f0231ca4d6,ubuntu,Yoruba,community_decision,_logic,,recorded,"Kresolution, ","I,0.5963, ","0.143, ",So,recorded_framework,neural_tension: ,-10.,2024-08-13 19:12:00
mostly99-cc1c-492e-a271-1eeec4b9df59,responsibility,Igbo,moral_dilemma,"ubuntu andwau kuoah,0.4 wa,0.287.1718,0.91,9,0.,-0.15112, ","wisdom1T:g na, {",symbolic,_teaching,description,ethical_framework,", ",location,: ,location,2024-11-24 16:27:00
mostly56-9422-4434-a675-14f769bfb304,community,Amharic,modern_ethics,"2024, ",cultural,"C-0911T,6",2024,ethical,,resolution{,} ,stakeholderstensiono: ,"empathy ya and,",2025-09-17 19:25:00
mostlyd2-3e64-4039-a537-51bf2cfd252b,integrity,Oromo,modern_ethics,resolution_language,recorded_language,ethics_teaching,", ",W,description{,description,ethics,stakeholders,scenario_tension,2024-04-26 10:41:00
mostlyb4-543e-48c9-afe7-eaa3a8293564,community,Igbo,conflict_resolution,: ,2024,: {,", ",H {,Oromo,primary_type,M_framework,"locationan. s, ",_framework,2024-07-25 00:45:00
mostly0a-0072-4925-a8b9-0ad8c77cd70b,ubuntu,Swahili,intergenerational,"2024.02.06895,1.88,-1.71.132,0.92612,0..84,0.4T:08,-1.726",ethical_tension,ethical_decision,cultural_logic,"-0.4306,- ",traditional,wisdom,integrity ,wisdom_framework,: ,2025-05-18 04:05:00
mostly4d-94b4-4e0c-b569-1167f221eea1,empathy,Shona,moral_dilemma,principle_teaching,recorded_embedding,ethical_language,K,",-0.155.8848,,0.77,0272o: ",principleethics,2025,ethical,community_embeddingT,: ,2024-02-28 09:17:00
mostly2a-aefb-4572-a63c-04cdc4a34eff,community,Igbo,intergenerational,cultural_}{,scenario,description, {,N,symbolic,"0..,-1612T,-T_:",: ,justice,"0.79928, ",2024-02-16 08:00:00
mostly84-f2e0-4206-9dda-9f79074f9e0b,empathy,Amharic,conflict_resolution,primary_teaching,U,neural,primary _framework,ethical_domain,primary_,ethical_domain,: at,}} ,recorded_framework,2024-02-24 10:00:00
mostly40-4940-4265-9235-f91e54dbe2b7,justice,Amharic,traditional_justice,intergenerationalwa,: .,primary__,justice_tension,2024-49 ,: ,-0.,neural_domain,"ET, ",Ndị_demonstrated,2024-09-19 19:14:00
mostly90-0646-40b0-95f1-c7c6b168784f,integrity,Amharic,conflict_resolution,integrity ,recorded_teaching,"primary yamo, ",: ,ethical_ethics,wisdom_language,: ,empathy ,ethical_domain,K{,2025-09-25 10:59:00
mostly6d-a5c0-4817-90bc-04e6808f7022,ubuntu,Shona,traditional_justice,", {",},:00,"wisdoman and andy ed,wa ",", ",scenario_at,ethical,2024-2,,location_teaching,2024-08-14 17:22:00
mostly0d-eea9-43d0-9c52-529e7de0ad5b,community,Hausa,intergenerational,,Cb- ,resolution,wisdom_logic,ethical_tension,} ,description,scenario_language,"ubuntu, ",: ,2024-08-13 11:10:00
mostly16-b8c0-4b44-89bc-fb04085fad7e,empathy,Shona,conflict_resolution,cultural,stakeholders_domain,integrityframework,primary,"-1.158,0.191.6,,1.4,0.0986.",,ethics,E,"Uarwain,e",primary_framework,2025-02-16 16:47:00
mostlycf-430d-4bf5-be27-c599e466ae29,empathy,Shona,intergenerational,recorded_language,principle_teaching,Oromo_framework,location__0_,principle_teaching,scenario_logic,wisdom, ,scenario,"20250.1214912,:_at",2024-12-10 21:42:00
mostlya2-bf3d-4379-a951-90a4dfe7ebfd,community,Hausa,modern_ethics,M_teaching,E,", ",community_,ethical_framework,ethical_framework,"stakeholders yab naiyalt,-1ag ka, b-.034s,1,0.7747, v23-06.,",principle_teaching,recorded,principle_tension,2024-08-28 01:21:00
mostly36-8dc5-49f3-b69a-b877dba74225,respect,Oromo,traditional_justice,wisdom,A: ,2025,-1.5,Shona {-,location, {,"intergenerational, ",cultural_domain,T ,2025-08-13 22:29:00
mostly9b-2499-451a-aefa-0d7898a299b6,empathy,Hausa,modern_ethics,symbolic{,,", ",U_domain,ethical_embedding,integrity ,", ",",  ",scenario,traditional,2025-01-18 10:58:00
mostly40-da17-4b42-9319-c45a50146472,empathy,Shona,traditional_justice,}  and community,S ku,: ,", ",", 0.,0.254,-0.4583,-0.-17,0.286,T8,-1.4,0.28,1.1743,-11.409,0.47043,-.2501802,0.,16.8_",: ,stakeholderse_embedding,ubuntu,_: ,,2025-04-25 02:19:00
mostlyf8-293e-42a5-8482-a9bfbfe8c000,empathy,Shona,traditional_justice,,ubuntu,recorded,location,symbolic_teachinguat,"E, ",2024language,recorded,scenario_type,: ,2024-07-29 20:33:00
mostlyd6-5bd6-4a88-8c48-48bfa8140ecf,empathy,Amharic,traditional_justice,: ,ethical_framework_,C {,: ,location,: ,},primary_at,"Md,1.23,-102.157,-0.2795 ,0.088,-0.43,ethics43.255,-0-T6.26_12,,-0.,-12.903,0.811948,",ethical_language,2024-02-01 03:10:00
mostlye8-dd03-4c63-bd58-9a4e05c696c9,empathy,Igbo,intergenerational,empathy,principle: ,resolution ,2024 ,resolution,,primary_framework,scenario_ ,ethical_at,ethical_.,2025-03-15 17:35:00
mostly27-d75d-422b-9df1-a27b9347bd48,justice,Oromo,modern_ethics,M,"resolutionm,_domain","justice, ",",",2024_at,wisdom- and ,: ,:,} ,description,2024-02-14 02:20:00
mostly0f-484f-4176-aa40-0a488cf48c50,justice,Oromo,traditional_justice,ethics,wisdom_logic,", ",resolution_,2025,"--T0.706,}-1.53, ",wisdom_tension,ethical_,_embedding,C,2024-08-04 01:20:00
mostlyf1-f665-4fb1-9ec6-4f6cfbdf96b1,empathy,Yoruba,modern_ethics,neural_-,"traditional_teaching,-",neural_framework,", ",", ",ethics,neural_embedding,symbolic_logic,,"A.6-0.836,at130.227,-0.123,}2",2025-06-26 23:44:00
mostly19-8e93-4253-b05b-ae56013153a6,community,Igbo,intergenerational,wisdom_framework,description,wisdom ,"-.805,0.1284430.2,",: ,primary_at,",-,-.0809,015159,0.,-0.29,0.2,-1.751.0627o,-,0.15060508--0.,-0.013,00623,0.6,0.0.428,-0.77,- ,-0.17,-0..4822,10.2202",,-: ,",_-",2024-03-14 07:21:00
mostlyaa-afa7-4279-9d67-58a9e2eab14c,respect,Shona,moral_dilemma,stakeholders,"TTuguan, ",ethical_at,cultural: ,principle_at,: ,2024_type,-,-scenario_,N,2025-01-12 09:32:00
mostly33-5886-4aae-9ad9-898fe8b12fc9,empathy,Amharic,community_decision,stakeholderslanguage,: ,,U a_tension,"resolution-, ",,,"Mkan,-0T4, ",stakeholders_framework,description_tension,2025-09-25 10:59:00
mostlyb9-3122-4fa3-b30b-f43ad1d49edb,ubuntu,Shona,moral_dilemma,ethical_{,: ,_logic,: ,"primary, {",primary_tension,: ,symbolic_,"ethicalm- na.6 7 andi.096,00.438803,T0:,-1.6161, n,1,0.6,-0.67,0.191.0547.17T.17,0249,0.6496_ethics, ",descriptionin ,2024-02-18 04:59:00
mostly68-737f-4931-b71d-2d0f7ead064d,ubuntu,Zulu,traditional_justice,"scenario, ",Ko,ethical__,recorded,2025_embedding,principle_logic,"}0.48,0.9705,0.2394,1.431,T01: 00",modern_teachingdemonstrated,__embedding,: ,2024-02-11 11:24:00
mostly7d-a215-4515-949e-98af9576ab34,community,Amharic,traditional_justice,: ,N1,{,scenario_teaching1,2024,W,cultural_demonstrated,Kresolutionf_framework,: ,scenario_tension,2024-07-16 19:36:00
mostlyc6-931c-4ad2-b0fe-db2ed2a56287,community,Oromo,intergenerational,M ,", {",wisdom,,"-..609,-1.84-2.8,2,0.04,0.9,-1.2530.13435,0.27-0.9",neural_language,"resolutiona-0.45287,-._domain",E00s {,wisdom_framework,: ,2025-09-10 12:47:00
