id,age_months,primary_language,experience_type,description,caregiver_interaction,words_or_sounds,emotional_tone,location,symbolic_logic,cultural_significance,neural_embedding,recorded_at
mostly71-ef89-4705-89f4-25c25614ae6e,4,Hausa,language, ,cultural_or_at,Caregiveri,joyful,}{,: ,recorded_at,{language,2024-12-17 07:19:00
mostly55-6ab5-4e92-9dff-dfbdb1fea279,11,Hausa,auditory,infancy,experienceexperience_embedding.,"recorded_ ctype-01do t, ",joyful,Infant:00,: ,S,} ,2025-09-28 18:06:00
mostly25-58c7-4038-8b2d-6f8bfbd91240,14,Oromo,motor,recorded_tone,"2024--096,-0.2,T 324",: ,surprised,“dor tumaan andd gan ands and to fing withder tf- ininsi.,age_months,symbolic_tone,} {,2024-08-06 04:13:00
mostlydf-e227-45f1-8557-f143fbdfcddd,5,Oromo,motor,tactile,", ",Caregiver_,playful,}} {,"Ctal se m, k tesingp.",", ",description,2024-05-14 11:43:00
mostly6b-b2ab-4abd-ae0e-525b11eb0724,22,Igbo,taste,: ,: ,agelanguageamr,joyful,",_or ",location {,E_,“aes.,2024-09-12 20:18:00
mostly8d-0b0c-48b4-9808-4aaa540c537a,4,Swahili,visual,words_atlanguage,} ,"-, ",playful,neural_embeddingsounds,description,: ,words_at,2024-11-11 15:13:00
mostly23-d7ca-487c-a308-1881421d26a8,8,Swahili,social,emotional_months,If-.,: ,secure,experience_tone,"“Mes”hr- with.6,d,.",Caregiver-0.,emotional_at,2024-02-23 07:05:00
mostlyf4-c148-4e28-8524-0ba0d5dc5bcb,6,Shona,social,location,"--.2-270T.,0.16, ",If_or ,surprised,emotional_logic,“a within foale. ,“am,neural_logic,2024-10-21 03:28:00
mostly2a-4808-4871-ac63-cc1937d3e0a8,0,Swahili,visual,neural_or_a,“words ,_l,comforted,symbolic_embedding,caregiver.,"recordedat cerkening andpi, k",: ,2025-05-14 23:17:00
mostlyc4-4cd4-4ee0-8bb6-4fff19bca303,11,Hausa,tactile,experience_tone,", ",,calm,", ","Caregiverueri,- thendinge,”aringl peser sess.",infancy ,Caregiver,2025-09-02 15:14:00
mostlybf-7ae8-491f-bd6c-10fa301f3dc3,4,Hausa,motor,: ,description,", ",joyful,"caregiver_language, ",,emotional_language,infancy,2025-04-12 13:18:00
mostly5a-d798-4737-9c21-20a65fee88d0,1,Yoruba,tactile,", ",recorded_,experience_ ,comforted,} 0s,recordeded ,: ,", ",2024-07-30 17:14:00
mostly9f-6de4-4ce0-8074-cca916f68915,2,Yoruba,visual,Caregiver ,", ",", ",curious,recorded}_or,caregiver {,: ,location,2024-01-07 07:47:00
mostlyb3-2da5-4ec1-bd2c-8a6908a2b6df,1,Yoruba,smell,: ,C,C ,calm,location,-_type,", ",emotional_typeb,2025-08-06 07:48:00
mostlyd0-c902-4df0-83b8-784634f27b4d,8,Swahili,motor,Caregiver,experience_sounds,}- {,secure,symbolic_,playful,R,: {months,2025-01-28 08:29:00
mostly86-764e-4574-9bc7-d756f7a034c5,11,Hausa,tactile,caregiver_type,", ",", {",curious,P I,primary_logic,: ,primary_at,2025-09-28 18:06:00
mostly8d-235d-476d-948b-5a9d4c27fb71,7,Shona,language,“ ,motor_language,location,joyful,Hausamonths_tone,emotional_at,caregiver_sounds,},2024-06-16 23:33:00
mostlyf3-a452-4e17-bcda-22a43fda969d,0,Amharic,language,"}, ",: {,{,playful,primary_significance,c,primary_},2024.,2025-03-05 22:07:00
mostly45-5c24-4c9f-9173-db14044465b6,10,Igbo,smell,", ",", ",caregiver_interaction,calm,2025,{,",0 ",experience_interaction,2025-01-11 07:59:00
mostly5a-7340-45de-98b6-fc47c66522ad,10,Zulu,tactile,symbolic_logic,", ",", ",curious,} ,Yoruba,infancy,cultural_significance“o bk incan.,2024-07-05 13:03:00
mostlybe-508b-4a42-90f3-4cf5e83fb466,1,Yoruba,smell,symbolic_tone,motor,"-_sounds00.905-0.,0.57,0.27,1.1,2T-15.7",curious,neural_tonees,infancy,Hausa_language,C{,2024-03-13 11:42:00
mostly97-90a1-4629-95ff-8d367ee0bd04,1,Yoruba,tactile,curious{,experience,E_tone,secure,primary,2024- ,“{,: ,2025-09-28 08:52:00
mostlybb-79b2-4cf9-8527-7a35f8812f3c,4,Hausa,auditory,neural_embedding,: ,cultural,joyful,cultural_significance,R,age_significance,", ",2025-06-02 17:15:00
mostly7e-9c0d-462d-810d-c6c3f571165f,10,Zulu,tactile,primary_language,neural_“,If_logic,curious,  ,recorded_sounds,: {,_tone,2025-01-09 06:58:00
mostlya1-df0a-485e-8f95-a555e536ffd4,10,Yoruba,motor,2024,description,"Hausaor, ",curious,infancy,description1,", ",If b.9.,2025-02-04 20:49:00
mostlye3-7588-4dcb-8cbc-9b22b4c50278,1,Yoruba,taste,experience_: ,recorded_at_interaction,2024,joyful,F,“,2024,If.,2024-04-15 17:46:00
mostly87-66b8-45f7-8c49-9c943df43179,14,Oromo,social,caregiver_monthssignificance,"primary, ",: ,curious,location,,S{,", ",2024-02-02 04:01:00
mostly7c-7993-40e8-855e-f7cedc7dcb7a,4,Swahili,auditory,: ,"2024, 0.132,2-.6,100.27094,1-0.571,-,0.08,--103.515",: ,secure,"neural2024-0.-0.1,0.81,-0.582,-231.","emotionals, ","S significancesignificance, ",cultural}embedding,2024-04-27 09:42:00
mostlyf0-9428-4cc8-99b4-8435456ee8d2,1,Yoruba,motor,:  ,,location,playful,emotional_languageam,"“, ",words_significance,},2024-11-14 21:46:00
mostly36-b15a-478b-b277-d567f390d75c,1,Hausa,taste,,2024,: ,joyful,If_months,words_soundsn,infancy,description,2024-04-14 03:49:00
mostly29-5b59-4ac6-8402-3486046cae62,1,Yoruba,tactile,", ",age_logic,"Ifkteden- cclep aese, ",secure,If Iingon,: ,}_language,Sing and,2024-11-08 21:46:00
mostlyb8-44f1-4f8a-87d1-07251d71d032,6,Hausa,auditory,primary_interaction,"cultural_, ",recorded_atal,playful,C-: ,: ,Caregiver {,age_,2025-06-08 22:22:00
mostly4b-7483-4d09-9d6e-c12631834dfc,9,Yoruba,taste,If, ,-1.180239,curious,experience_} “T,", ","“, ",neural_months,2025-07-29 22:25:00
mostly44-4021-4211-bc3a-953a0f23d5aa,8,Swahili,auditory,2024l9-0.,primarycultural_logic,Hausaam,calm,}}}language ,"S,0 with1.",Hausa ,,2024-01-01 23:08:00
mostly75-2d49-4f19-83b9-1294cf3b8a5d,2,Shona,auditory,", ",: ,"202407er-004,--0.07,1.392,-0.",curious,"2024--0.5115,,-0.52461,0.32042,-0.49T.59,-0.25907 ",primary_-,““aved.,curious,2025-05-09 04:42:00
mostly95-7e56-4002-9da4-053d24010a60,9,Shona,tactile,location,emotional_language,K_tone,curious,"primary, ","“,","playful” s” or, then.",,2024-08-20 23:51:00
mostlyf0-4e38-40c3-b91f-d7d8258c9e04,8,Swahili,language,curious-,:00_or :00,“,secure,"Ifaesfa, ins.",recordedCaregiver,Swahilieta.,curious ,2024-01-21 00:49:00
mostlydc-0bf2-4012-bbbb-ce1287159662,7,Yoruba,language,", ",experience_language_,: ,joyful,Ci“ ,motor,location,S,2024-03-06 08:17:00
mostly4c-5de0-427b-811d-da4ba0b6a581,6,Amharic,visual,descriptionor,: ,}“M ands.,curious,primary_interaction,If,{.,primary_language,2025-08-31 03:46:00
mostly2c-d897-43fa-8979-6a716d4eb2ad,8,Swahili,social,Caregiver.,caregiver ,words_typelogic,comforted,"}om, ","O, ",Caregiver,experience_tone,2024-05-29 04:27:00
mostly12-9ac7-486b-ac12-e4bc6775a227,7,Shona,auditory,: ,N_at,words_,comforted,“  and sf,“} ,}}} ,descriptiontype,2024-11-15 08:20:00
mostlyca-09f7-4d17-a6e5-791223be3dad,8,Swahili,auditory,Caregiver ,wordsemotional,"-0_709-08,-0.99,-03-3130.1205,02.9,0.",calm,experience_at,words_ ,,Yoruba,2025-09-01 15:54:00
mostly4b-845b-4a50-a9ad-a4cad10d2b24,5,Shona,motor,"2024-10006.230797,,-1.48,-0.9028,-0.24,0.467,0.47, then0.5T,0.3","“or, {usi and.",ageemotional,secure,"Ifo” or, ",experience-3_sounds,:00,"Caregiver, ",2025-04-29 13:45:00
mostly9a-b3a4-41bc-bf9d-20e1d9880a11,7,Shona,language,O ,: p too awp.,primary_logic,playful,“,primary_significance: ,", {","If-0.13, embedding",2025-09-09 14:23:00
mostly10-c769-42f2-b55d-8bf760b00105,22,Hausa,language,}}} {,If_language,_significance,curious,“es” toreder a gsp and anded p ,2025,"L, {",", ",2024-09-16 04:34:00
mostly16-c7b0-4918-bfae-8f0664d08579,3,Hausa,auditory,neural_primary,If,cultural.,joyful,: ,emotional ,R_ ,_,2025-08-28 18:57:00
mostlyf5-6c39-4603-8985-a79346024fae,8,Swahili,tactile,recorded_interaction,: ,",_sounds",curious,Caregiver {,primary_,description,"Caregiveredy saalrl.74, s",2025-07-03 08:48:00
mostly67-be97-4276-becb-448453470c71,0,Swahili,taste, ,- ,playful,calm,recorded_sounds,locatione.,", ",: ,2024-10-03 16:54:00
mostlyea-363e-4e71-9a38-20cfc74d4c17,6,Oromo,social,}_logic,cultural_sounds,symbolic_tone,playful,"culturalIf han”, ",: ,recorded , _,2024-12-17 13:50:00
mostlya8-d8d0-4268-a8ec-2840ca7ea626,11,Zulu,auditory,primary_tone,“_type,description,secure,", {",description{,cultural_type,primary {,2025-09-28 18:06:00
mostly00-9944-4736-9129-558cb23e92cf,10,Yoruba,visual,recorded_type: ,caregiver_at,words_,curious,: ,c,experience,culturalsignificance-028: {_,2024-07-07 23:46:00
mostlyde-7bea-4c77-b394-a214b103026d,18,Hausa,motor,", ",primary_type,neural_,secure,: ,- ,Chhs dabe and and.a.5,2024,2024-09-28 15:49:00
mostlyd0-173b-4559-9dc2-2c1cf8e885c9,9,Yoruba,auditory,playful,agetype,"If_-0.2619,-0908 ",calm,}interaction ,cm}or,caregiver: ,If_type,2025-04-27 11:11:00
mostlyb2-a001-4aff-8718-e90a93a93b7f,6,Igbo,visual,: ,“a”: pony.,caregiver ,surprised,:00,“,description,"- then3TT-,1.1808,,0.50072,0.58,0.362,0.09,-1.357, ",2025-09-28 18:06:00
mostlyaf-c26c-4668-aaf4-885927c3e747,0,Amharic,motor,age_cultural,location,infancy ,secure,"F}, ",words,: ,infancy,2024-06-05 23:40:00
mostlyd1-480d-4f91-b0e6-2767e3cf07d3,6,Amharic,tactile,-0.,Hausa,C_language,curious,neural_significance ,C ,description,: ,2024-01-13 23:11:00
mostlycf-5705-4290-8d72-5855d7decb59,15,Hausa,language,_tone,:_interaction,“_months,joyful,description,}} ,cultural_embedding,“ ,2024-06-28 01:48:00
mostly9d-0464-4fca-8565-6cb65e0aecbe,4,Igbo,motor,description,symbolic_,ageIf0. “ andm in.,joyful,_symbolic_language,"experienceT, ",2025{,", ",2025-04-10 00:39:00
mostly4e-83f8-474b-8382-6ee953da7dce,24,Amharic,taste,Ifa with.,location, ,curious,K ,ageage_type,Caregiveredu d: ,neural_sounds,2024-07-09 12:46:00
mostlybf-8958-44a7-a54b-dbc032ecece2,5,Igbo,social,ageom ,If ,Hausaing-1.480315:00.,joyful,: ,"“a ges”an,-0.812,0-1.","Familyod andbdeoor m, ",: ,2024-06-28 08:03:00
mostly38-1095-46a0-8a0d-8c4ea7fa1997,4,Hausa,motor,experience_interaction,"cultural, then ",,joyful,"words-0.23,1,0.050,-0.-117,-06,00.02009.06,0.2400",Yoruba,: ,", ",2024-07-12 09:39:00
mostlyfe-682c-4f63-a42c-08faf2c3b585,6,Oromo,motor,caregiver_embedding,", ",“_language,playful,symbolic_,: ,"“ed,ing andes in.",C_embedding,2024-03-10 23:13:00
mostly59-a863-43ed-914d-ba5c42ee58d4,22,Hausa,visual,primarycaregiver_r: ,", ",} ,curious,experience_,infancy,“_type,emotional_type,2025-09-18 03:16:00
mostly89-f110-4f1a-8838-be2025aa6344,7,Shona,taste,2024_language,location,If_,joyful,"“es b,,-.0213.60,”60..59,-0_14,-1.1.49,07",: ,",1.09,: ",", ",2024-05-09 19:05:00
mostly13-4be6-47ea-b699-7a35d00f3063,1,Hausa,language,Caregiver,“_tone,recordedemotional_at,secure,"c, ",primary_sounds,symbolic_orm ,: ,2024-07-25 11:33:00
mostlybd-abee-49ac-a95d-200da926d2ad,11,Zulu,auditory,location,O_,recorded_type,calm,"“kl anda, os,e.",words__at,words_embedding,", ",2024-10-07 00:03:00
mostlybd-9a0f-4593-a1e4-33d0fcdef635,14,Oromo,motor,} ,"2024-T55,-0.58,11-,--0.169, then.7,0.377581,-0.0,0.191,0.",symbolic_,playful,cultural_language,A,symbolic: {,primary_,2024-09-24 16:03:00
mostly2a-fcdd-439c-becb-3570174a54e8,0,Swahili,social,S,description _significance pan:  {,description,joyful,Nid,caregiverinteraction,If,recorded_months,2025-07-19 23:13:00
mostlya6-e3ae-4253-bc46-88815034e38b,11,Hausa,tactile,"symbolic, ","If:00” and a, .",playful,calm,If ,C,", ",ageinfancykT,2024-09-14 12:17:00
mostly04-b17e-4f94-9062-56554ba52096,10,Shona,motor,primary_interaction,,Ifingesed totdedon:,playful,location,K_“,experience_embedding,emotional_type,2024-12-06 20:06:00
mostly3b-d88d-4f24-843f-d6ddc8c734ad,0,Swahili,smell,emotional}{ _sounds,joyful,: ,comforted,", ",Led fingtsesderar mef.,description,: ,2025-04-28 07:06:00
mostlyed-2afe-453d-bba5-3f5582e84898,12,Amharic,social,cultural_months,} ,primary_,joyful,", ",-0.,", ",}months,2024-02-03 13:57:00
mostly3f-8966-4aea-9665-89329add788e,16,Swahili,social,__at,", {",Infant,curious,location,cultural {,Ndk: ,", ",2025-01-14 19:56:00
mostlyd9-1d93-453d-bb24-cde074b203ce,8,Swahili,smell,caregiver_,2025 ,motor,comforted,If tr.,words_embedding,S,symbolic_: ,2024-12-15 05:50:00
mostlyf3-bdeb-4485-8668-1524ef9725d6,14,Amharic,taste,: ,location,caregiver ,curious,}_months,", then p{kp, then-d-oT s-tin s.",: ,Ifo,2025-09-28 18:06:00
mostly80-9e2d-4de5-bc57-ae43c0b570a6,17,Swahili,tactile,O,“eu,", ",curious,Yoruba,symbolic_embedding anding fa.,“ _type,: ,2024-08-03 06:04:00
mostly90-d472-4241-8c5c-c8e3f6d8135d,9,Yoruba,motor,caregiver_or_,", ",age_at,curious,",s",Caregiver_sounds and,emotional_or0es and.,joyful_,2024-01-07 05:55:00
mostly4f-6895-43a4-a528-23c10fc39931,16,Yoruba,language,"primary_language, ",caregiver_sounds,"O,- ",curious,neural: ,}{,: ,infancy,2024-09-07 22:45:00
mostly23-4b1a-474c-9f3c-6e29f258c9b1,7,Swahili,social,", ",words_languageage_tone,T,playful,“caregiver_esu,: ,", ",infancy,2024-01-12 11:34:00
mostly42-befc-40df-8f79-136ea94eaf28,3,Hausa,social,", ",Caregiver ,,playful,}or {,secure,2024-0809T:00,,2024-07-30 07:18:00
mostly68-c48e-40c4-982f-92d7959b20c6,9,Yoruba,language,age_language,neural_at,", ",secure,words_,location,},“eda,2024-03-06 05:07:00
mostlyd4-599c-4eda-a868-79eafa37939d,22,Swahili,auditory,words_embedding, ,cultural_embedding,calm,: ,: {,", ",description,2024-08-30 21:42:00
mostlya3-c029-400b-88d7-9c7e3f83004c,12,Amharic,smell,words_sounds,primary {,playful,curious,", ",If}ing.,"securees, ",recorded_significance,2024-08-02 21:45:00
mostlyd0-729a-40a3-b45e-6cbdae01933f,8,Swahili,language,experience_interaction,If Ip f,tactile,joyful,"primary, ","neural, {{",S: ,recorded_sounds,2024-12-28 19:05:00
mostlya7-1908-47a2-b14c-c013f689e7d8,10,Yoruba,language,} ,"If, ",,surprised,_language ,", ",,,2024-08-28 20:18:00
mostlye0-0c01-4cff-bfba-ff34eec7c486,2,Yoruba,auditory,“caregiverr{,secure,infancy,calm,"Caregiver”s., ",", {",infancy,R ,2024-08-06 17:41:00
mostlycd-a2a2-46d2-af20-06039f875d33,2,Oromo,visual,",",: {,“_,curious,Hausa,location,caregiver_significance,Iflanguage,2025-09-23 03:14:00
mostly83-b586-4bf5-9d73-35b5441c9a23,5,Igbo,social,Caregiver ,"Caregiver“ingken and,-0,012-.8702,0.04T, then14,.",primary,curious,},caregiver_significance_,description {,If.,2025-02-07 13:20:00
mostly69-85fb-40f9-9c57-03abfeea14e7,24,Hausa,auditory,", ",: ,infancy,secure,C_months,: ,:or,: ,2024-12-21 23:55:00
mostlyc0-85fd-4bab-b613-ef4bbac83cbd,9,Yoruba,taste,primarysounds.,“,“cf,calm,Hausa ,location,"Caregiver b cing tc d, then ",age_months,2025-09-28 18:06:00
mostlyd9-4c6f-4b65-9c5f-432edc3ee89a,13,Igbo,visual,c_significance,: ,experience_tone ,curious,If_i,emotional_at,joyful,:,2025-09-28 18:06:00
mostly2c-1329-4189-b34a-1169a54aee79,13,Igbo,motor,“led.,C m,: ,curious,cultural,recorded_“-_at,", ",},2024-11-04 07:24:00
mostlyae-c7fb-4037-a9bd-693df7be9941,22,Oromo,motor,c,location,caregiver_at ,joyful,“-hanp and.,location,", ","2024-,-0.6, ",2025-03-19 15:17:00
mostly13-a20f-4a88-8bb2-fe89026182bf,8,Swahili,tactile,"If hi” its andp see fs,ts tole.4,",: ,", ",curious,experienceneural_7,neural_embedding,description,location.,2025-08-21 05:59:00
mostly3b-ffbb-4fc4-8add-195edaf379f7,3,Hausa,taste,R_,location,"recorded_months1m, k_s",surprised,Ife,location ,"motorom--2507., ",}}}{,2024-09-18 15:14:00
mostly04-1070-4d40-889e-3368196144ce,2,Yoruba,language,primary_type ,location,", ",curious,2025symbolic42.,}} ,“,", ",2025-01-23 19:58:00
mostly9c-0713-436a-801b-cf022f1ff4b4,0,Amharic,visual,C,If,neural_language,comforted,", -8.",caregiver,neural_embedding,2024_,2025-02-21 18:08:00
mostlya2-0c50-49c5-a44c-21285e03574b,9,Shona,smell,O,If,emotional_tone,curious,"-T--0.03,-1.233",",",: ,age_months,2025-07-11 22:47:00
mostlyb3-fb8a-437d-b85a-371f9ea1ed83,11,Hausa,motor,“ and omkesaw poerllinging v fe.,2025ageingb.,: ,secure,cultural,R ,,emotional_: ,2024-07-11 19:40:00
mostlyac-1faa-46bd-919d-0c7bce137d3a,7,Shona,visual,"If, {",emotional_interaction,location,comforted,symbolic_logic,,"experience, ",Swahili,2024-07-21 10:55:00
mostly17-a665-4e0a-84b3-8a74e5d5b915,9,Shona,language,C_ ,"P0.,0.8,1.03- 06",: ,curious,", then",description,description,agemonths,2025-03-17 05:16:00
mostly7c-8439-4616-8742-16df82ccccf3,1,Yoruba,tactile,symbolic {,recorded_tone,2025_sounds,secure,: ,descriptiond,", ",emotional_significance,2024-06-30 20:39:00
mostly12-0257-4303-b05c-035e9841b9c7,2,Hausa,auditory,“,caregiver_ ,description,playful,"primary, ",experience:saTing.,A}mha.,"C, ",2024-12-28 21:06:00
mostlyba-be0d-427b-936b-05a80add48fb,15,Zulu,taste,neural_sounds ,emotionalneural_tone b cs with- fera””,2024_significancees,curious,infancy,cIfarmsku p.,_significance,age,2025-09-16 13:57:00
mostlye7-21c8-4b95-9a14-ec18e77d3c61,18,Swahili,social,experience_months,infancy,recorded_at,secure,A_tone,"2024-240.14,-0.8,0.242827,0,0.188,0.47703,-0.4707,-0.09,9",}_months,emotional_tone,2025-02-02 00:06:00
mostlyd9-2e32-4f13-adc1-0ce869caea69,16,Zulu,motor,infancy,: {,description,secure,2025 ,Ptone.,Caregiver,emotional_language-or,2024-03-17 14:40:00
mostly95-618c-43f1-98b1-27c69183f2b3,22,Igbo,taste,_at,age_embedding,location,calm,}_type,: ,: ,description,2024-06-06 18:56:00
mostly64-7784-4531-a37d-3e509640f8e8,1,Yoruba,tactile,experience logict.,,2025,secure,,words_at,"““kypf ins anden”linge, ac, ",O: ,2025-08-27 21:20:00
mostly18-bc23-4225-8ac0-788102fcb878,2,Zulu,language,agemonths ,"Caregivering,00ties.",If h,secure,Caregiver{c p ,: ,"words, ",caregiver_at,2025-04-18 05:42:00
mostly06-fc05-4bd5-86cd-100d99bb9154,9,Yoruba,smell,-.,experience_type,primary,curious,2024,infancy” ,"c_significancesingonaenen s,.",“or_language,2025-01-15 19:56:00
mostly21-d623-4d73-89f0-ae5851b9ab30,14,Amharic,smell,caregiverinteraction,,Infant_language,joyful,location,"-, ",: ,secure,2024-04-29 17:40:00
mostlyed-a923-4f08-acb7-ada23cbae36b,20,Amharic,auditory,description,neural_sounds,", {",joyful,If_: ,: ,2025 ,experiencecultural: ,2025-08-21 01:39:00
mostly6d-62a7-4847-b768-ab5976ed294f,1,Yoruba,language,recorded_“,Ifcafeed,2025 ,joyful,F.,caregiver ,experience_,"recorded, {embedding",2024-09-07 14:29:00
mostly48-872a-4654-9800-ea4bd746beaa,4,Hausa,motor,If_or: ,experience ,primary_m{,playful,location ,Caregiver_significance,age_age,experience_months,2024-03-20 05:18:00
mostly23-7395-415e-a034-5adfbbd9cdb8,2,Amharic,smell,cultural_embedding,Caregiver{,: ,playful,caregiver_logic,", ",Caregiver,_,2024-08-05 03:37:00
mostly59-73b8-45fd-a3cb-9cabbbbc7267,2,Yoruba,language,: ,If.,: ,curious,"agelanguage-,-0.770569,211791-0_07",}S_,cultural,"descriptionkuu,” ",2025-04-20 19:53:00
mostlyc3-2413-4b77-a947-8f9c94bfcbed,14,Amharic,smell,2024,", ",2024,playful,age_months,"curious”, ",Caregiver,C_u,2025-04-20 09:28:00
mostly46-b256-4172-a40b-d3812067c079,22,Swahili,tactile,location00,"E{si,0.,-012,-0.5717,-13570,160.0,0.3,",words_or ,curious,R ,experience_or,words: ,recorded_language,2025-09-28 18:06:00
mostlycc-7bd0-4abe-af15-57d668b76413,0,Oromo,social,"202401-192.524.8,-0.0.040093,- ",}months,description,secure,2025_or_at,playful,primary_interaction,age_logic,2024-07-11 19:51:00
mostly3f-f94a-46f3-8cef-0e2bd21d4dc9,7,Shona,auditory,symbolic_sounds,", ",C_d,joyful, ,: ,experience_type,"S-.}15-03,-048.716,0.184,0..509,,1.72,0.99,-0.071724",2025-09-28 18:06:00
mostlya5-fff9-446f-b251-0492777b7db9,22,Zulu,language,experience_tone,:00,experience_interaction,secure,agemonths,caregiver_months,",--TT29T39,0.2,0.9, then00:",If ,2024-08-04 13:45:00
mostly08-d1a5-4583-9102-97b612961da0,12,Swahili,visual,Sl.,: ,description: ,secure,",0.639,1.,-0..-0.57,00-1..5953,-0.022,-0.753,-0.18104,0.38,1.080,-0.05,0.0.09,1703.1025.73",:“-u”ingy s p” ,infancy,joyful,2024-08-28 08:34:00
mostly52-0814-49f4-ad20-74eb154a56e1,11,Amharic,tactile,Kes,", ",E,curious,symbolic_neural_,: ,S0,} {,2025-03-14 22:17:00
mostlyd1-2ac9-4b43-b943-0f1761909ea4,2,Hausa,smell,age_type,}{,: ,playful,Com_ sor ,: ,"Fc:sal, ",2025-0.,2025-03-29 10:09:00
mostly74-0d47-409c-adff-826c06e16d59,13,Oromo,language,joyful,neural_months,age_tone,playful,", ",age__sounds ,2024,neural_significance,2024-06-17 11:06:00
mostly2e-618f-4523-b153-f8950cc2d6c6,6,Yoruba,motor,: {,2025 {,",",secure,", ","2024, ",C ,Caregiver ,2024-05-12 16:28:00
mostly43-cc93-4329-b6f3-e024e8089c7f,3,Zulu,taste,O_interaction,motor,"“, then",joyful,N,", ",emotional.tone,", ",2024-06-30 12:04:00
mostly3a-afc0-4c0a-b662-28df9caf5fdd,10,Zulu,taste,caregiver: ,", ",", ",comforted,Caregiver,location,", ",words_:,2024-09-28 21:20:00
mostly14-9b40-42f4-8e13-b104100c871e,10,Shona,motor,caregiver,description{,experience_logic,surprised,infancy_,C-,: ,infancy_,2024-08-04 06:42:00
mostly00-0105-4010-a6e2-85a746c5cb0a,10,Shona,taste,emotional_sounds_ ,If ,emotional ,curious,words_type,"2024-09-1.249158,--1.09,-0.",_tone{,description,2024-03-03 22:46:00
mostly32-c53f-45cf-b09b-576a1a56fd8b,20,Zulu,visual,} ,A,Infant,joyful,", ",", {",primary_-s_,: ,2024-01-19 22:05:00
mostly97-5229-45c2-adb8-186ebcb2f280,18,Amharic,motor,"curious1,-",recorded_tone,,playful,"secure--1.,104.713, 02",", {",: ,Infant.,2025-08-23 08:06:00
mostly52-fd6a-4bcf-a97e-e5a007444593,10,Igbo,smell,experience_significance,,Caregiver,surprised,"S-07,1 -07ancuring.77,0., ",“or,", ",“_significance,2024-06-17 09:40:00
mostly4b-4b3c-49a7-9126-0614b6c1c416,0,Swahili,taste,“,neural_embedding,location ,joyful,ces,_description,emotional_ ,_,2025-03-09 04:55:00
mostly70-0992-4169-a15a-f725a81a2b24,5,Oromo,taste,caregiver-_tone,2025sar_at,: remotional_at,calm,wordses{,emotional {,motor ,cultural_interaction,2025-09-28 18:06:00
mostly9e-a12e-4db9-8a9c-cb78e2f377fe,18,Amharic,taste,"OTs:arar,T:0000",joyful,_words_atinteraction,curious,Swahili,age__logic,location b,motor,2025-08-26 04:43:00
mostlya9-d129-4219-8627-3f7fdefc0cda,10,Yoruba,motor,descriptiond.,2024,caregiver_type,joyful,playfullanguage,Oor“king” andesa.,primary_: ,: ,2025-07-30 22:34:00
mostly96-9670-4a10-878f-dfe19de4209b,10,Zulu,tactile,P_,,words_logic,curious,O,primarylanguage,"“, “_type",,2024-05-15 13:24:00
mostly5e-ac14-41d4-bbd2-9c746d953c02,18,Hausa,language,"descriptionT anda”ing,”..",Caregiver  ,,curious,", {",“ ,2024-260.,: ,2024-03-03 03:42:00
mostly6a-7cb0-462d-a0eb-8cb64cf17a35,12,Shona,tactile,words_type,location,", ",curious,experience_typemonths,If0:00,"cor, ",infancy,2024-09-11 22:13:00
mostlya6-3dde-49c1-89fc-5ee995bc3794,6,Igbo,tactile,caregiver_at,Caregiver ,location,curious,"L t mb mle s p to initsei, “h.",2024:00,symbolic_,"C., ",2024-07-21 21:04:00
mostly64-4583-4391-a1be-8cd187bec886,15,Shona,motor,", {",: ,,joyful,", ",", ",recordedemotional_{,Infant_language,2024-09-28 03:18:00
mostlyd4-bd9d-445a-8bd0-1ed936c3e082,5,Igbo,smell,",-",", ",primary_monthssignificance,playful,infancy{,experience_type,: ,"If-,0.7557.278,-000.3302,--60.8058,05,,-T1,0.21,0.",2024-11-17 15:13:00
mostly5b-b103-456e-8f32-0c252359cb49,4,Hausa,motor,neural_language,primarywordslanguagetone,words_: {,playful,secure ,age_embedding,: ,L,2025-05-08 02:22:00
mostly24-ef00-4f45-b392-5ecd19cc5d03,11,Hausa,tactile,recorded_tone,"-103-0.08T0423,0.4,0.915,-0.5,",recorded,calm,primary_language,location,If_months,", ",2024-06-25 01:38:00
mostlybd-face-413e-9e5d-e676f7dd057b,15,Zulu,motor,Yoruba,infancy,recorded_sounds,joyful,Caregiver“,“s.e,experience_type,,2024-02-05 23:56:00
mostly04-6477-4891-87a7-5d764ab973ed,0,Hausa,tactile,If_ ,:,Caregiver,curious,: ,neural_interaction,experience_,",",2024-07-21 22:42:00
mostly36-73d6-4b92-b2c5-ba15fe185eb0,6,Zulu,taste,",",““ f,emotional_orembedding,curious,20242024-0.,: ,infancy,If-01 m,2025-05-28 10:33:00
mostlyef-135c-4131-9053-720d19b8c202,7,Igbo,taste,neural_tone,"C“bingk a payr, c and ting”",Caregiver_ dk_u,surprised,: ,_type,location,location,2024-04-28 09:37:00
mostly8c-d0cf-4c65-ac64-1f0da7345dc1,10,Yoruba,tactile,_language”,_type,words,curious,“ “,A_embedding,", {",: ,2024-08-18 23:15:00
mostly85-811f-4788-95b1-89612b6b0dac,10,Yoruba,smell,"secure,s, ",If po gt s” infi-we with f b g m ,cultural_embedding,curious,"2024- then8ing07, ",S ,“_,Caregiver ,2024-09-26 22:16:00
